fecha_hora,real,v4 actual (5 modelos) [CV],v4 + TFT [CV],v4 + LSTM [CV],v4 + TFT + LSTM [CV],ventanas promediadas (N-BEATSx y N-HiTS) [CV],recalibrados [CV],recalibrados + congelados [CV],v4 actual (5 modelos) [desplegable],v4 + TFT [desplegable],v4 + LSTM [desplegable],v4 + TFT + LSTM [desplegable],ventanas promediadas (N-BEATSx y N-HiTS) [desplegable],recalibrados [desplegable],recalibrados + congelados [desplegable]
2026-06-13 15:00:00,502.46301,562.423530563069,555.4616992054818,562.5381497261294,555.4616992054818,519.7352197336584,461.6941482702076,548.9675565154675,566.9889771760977,561.9357860339038,566.7631771570417,561.2234967552239,527.248851037461,460.24091505614945,566.9889771760976
2026-06-13 16:00:00,550.46301,576.59254497454,567.493218069472,576.6871708223001,567.493218069472,542.1827641434002,500.29946902088227,566.3662927579182,581.4748503867335,574.9002293385353,581.3303989385129,574.2102515293892,551.8170056060602,494.09402664402216,581.4748503867335
2026-06-13 17:00:00,550.46301,617.0571519737599,606.3322310501171,617.0293356961007,606.3322310501171,592.6926568681594,602.5255337789183,611.9767925174095,622.912521230894,617.6605481728956,623.226554188431,616.5190266248783,602.9745072822792,595.1410363638367,622.912521230894
2026-06-13 18:00:00,1249.46301,772.0692830638895,766.1332409230401,772.0692830638895,766.1332409230401,741.891132915217,736.372746632426,767.7244897681608,779.3621517985786,778.6652679614807,779.3621517985786,778.6652679614807,759.6022269640592,751.38320906622,780.0127702322894
2026-06-13 19:00:00,1249.46301,1050.4104210793387,1028.7295726483424,1050.4104210793387,1028.7295726483424,1033.7462183568834,1074.5034585552667,1030.9725333224312,1076.392773194151,1074.5077034553592,1076.3927731941512,1074.5077034553592,1072.8053619300147,1112.9188465622553,1075.486771913025
2026-06-13 20:00:00,665.46301,962.8581772945951,944.2505697500925,962.8581772945951,944.2505697500925,955.3919125225243,995.1938220586487,946.0361736287498,986.0929801734808,983.9795104221032,986.0929801734808,983.9795104221032,989.3302602213856,1029.3614455855156,984.7472245564874
2026-06-13 21:00:00,1270.46301,665.1841839106066,663.3025347895809,665.1841839106065,663.3025347895809,641.2634423867196,624.6389083807112,663.4085660673853,671.6224577096916,671.1146444421646,671.6224577096916,671.1146444421646,651.6924855078489,635.8460662912867,671.7100962234359
2026-06-13 22:00:00,665.46301,554.5344618351471,552.0571768059444,554.5344618351471,552.0571768059444,528.1795377604235,510.3504637008956,552.2908800253995,561.3647334655276,561.3546403248831,561.3647334655276,561.3546403248831,534.0252055089625,518.7164839027163,561.018365531649
2026-06-13 23:00:00,550.46301,504.20882385633183,497.25103174030556,504.20882385633183,497.25103174030556,488.7019280506765,459.7082146283774,502.96911945864554,507.74477128271764,506.42969187091614,507.74477128271764,506.42969187091614,495.3276280075518,466.4931353387473,507.5989701723154
2026-06-14 00:00:00,501.97868,459.2330081040798,457.3450188568602,459.2330081040798,457.3450188568602,433.8799803124949,468.9967711129295,459.2330081040798,465.03459538166254,465.13279417353635,465.0345953816626,465.13279417353635,432.27888555874034,462.322163624575,465.0345953816626
2026-06-14 01:00:00,501.97868,480.5102618326216,482.982916887405,480.5102618326217,482.98291688740494,456.971021689185,430.9151695360387,480.5102618326217,479.1901386070902,479.9110580161737,479.19013860709015,479.9110580161737,455.99024217913023,419.9498610566613,479.19013860709015
2026-06-14 02:00:00,501.97868,468.55278905032856,471.1818603607145,468.55278905032856,471.18186036071444,429.8235420601295,405.8018184240267,468.55278905032856,467.84179492319925,468.7216066815333,467.84179492319925,468.7216066815333,429.07646741912646,395.55491744836587,467.84179492319925
2026-06-14 03:00:00,501.97868,451.2904020000368,454.276857017411,451.2904020000368,454.2768570174109,424.70275448560585,403.67370380649584,451.2904020000368,452.75241572675054,454.1156289475741,452.75241572675054,454.1156289475741,423.40510437224526,393.16307653931403,452.75241572675054
2026-06-14 04:00:00,441.97868,447.27393745922336,449.9002781643351,447.27393745922336,449.900278164335,426.17291799167674,396.94339245995616,447.27393745922336,449.6075886407139,450.96388468098985,449.6075886407139,450.96388468098985,424.31049577996004,386.05434763994447,449.6075886407139
2026-06-14 05:00:00,441.97868,457.4130722234203,458.795148710768,457.4130722234203,458.79514871076793,429.141394041088,393.03333645549964,457.4130722234203,458.27873071643074,458.9094895756126,458.2787307164307,458.9094895756126,428.39263601875126,382.0486394521111,458.2787307164307
2026-06-14 06:00:00,226.97868,415.5528616820165,415.5528616820165,412.4378718703634,412.4378718703634,412.42213208364524,384.9272999300706,415.4289011714291,413.4112536998437,413.4112536998437,408.235739562593,408.235739562593,405.1401331078425,368.3421808156297,413.4112536998437
2026-06-14 07:00:00,226.97868,388.5729101883708,388.5729101883708,388.980315475273,388.980315475273,394.5911842780135,341.4854993016691,388.5082306113081,386.3042453309023,386.3042453309023,385.39062769193845,385.39062769193845,389.2790495008747,334.04330835469403,386.3042453309023
2026-06-14 08:00:00,223.97868,383.5627058851038,383.5627058851038,384.58680039079775,384.58680039079775,393.10787198695573,339.2159377950362,383.4745414233319,381.3475645936225,381.3475645936225,381.27077466936714,381.27077466936714,388.37832097849395,334.86264269801126,381.34756459362256
2026-06-14 09:00:00,222.47868,349.5340805748729,349.5340805748729,354.77383218917174,354.77383218917174,379.7147557792198,280.0864911816885,349.59013654654945,347.09855137148196,347.09855137148196,351.9990499456132,351.9990499456132,377.89767611600826,279.1453755875351,347.09855137148196
2026-06-14 10:00:00,223.97868,378.53412646110735,378.53412646110735,380.07008381664326,380.07008381664326,390.342462848988,317.58059544450083,378.3776088483796,376.2234525799563,376.2234525799563,376.75117739755234,376.75117739755234,387.4729333582278,313.1273398624476,376.22345257995624
2026-06-14 11:00:00,223.97868,411.37441020746564,411.37441020746564,412.3927746451189,412.3927746451189,409.40284425024277,341.9143452363648,411.20085074672556,408.4537631923054,408.4537631923054,407.99187720828405,407.99187720828405,403.66886650211706,335.5578951136801,408.4537631923054
2026-06-14 12:00:00,223.97868,413.4938015959873,419.8426589321015,413.72469076814724,419.8426589321015,408.05148791685946,342.1101346097291,408.1146609445644,416.0594450029667,421.62435335028374,416.19172520553354,422.06172444351716,410.3457671974628,347.196139659469,416.0594450029667
2026-06-14 13:00:00,223.97868,434.8551610423348,439.1767294764348,434.98079101057107,439.1767294764348,431.2166556119527,378.6421722974345,429.1266704196833,438.31318530484447,442.8293169430279,438.1359589159916,442.80706148878016,435.14286799245986,382.13358486829793,438.3131853048445
2026-06-14 14:00:00,226.97868,447.23154070536464,450.61159156355245,447.38243375991004,450.61159156355245,443.6798542101132,406.9300424047633,442.17116433937707,450.58508957218305,454.3101171962811,450.4760110766392,454.5049033464459,449.65352172784515,411.90191738441933,450.58508957218305
2026-06-14 15:00:00,501.97868,487.55209805556194,487.7237340436223,487.64717718462964,487.7237340436223,480.0323123204006,458.7721742018214,482.48682826737024,491.28612554174,492.15253210685705,491.054453584317,492.1630648929239,488.2730016983384,466.66419588673557,491.28612554174003
2026-06-14 16:00:00,503.47868,516.6962057737986,515.3507677077704,516.7290618681469,515.3507677077704,516.780218746751,502.2940532814737,513.9647963125582,520.610964517883,519.6064217185642,520.4931207898239,519.2860972929259,528.9430661355552,504.0429705039866,520.610964517883
2026-06-14 17:00:00,503.47868,529.9527142498395,530.0471123113966,530.0489572945894,530.0471123113966,537.2448844131726,549.0298765066141,532.4661028998814,533.9787405235576,534.9176991917268,533.83226374602,534.9608636715135,546.7811572335864,541.0563471049915,533.9787405235576
2026-06-14 18:00:00,503.97868,883.8517583315484,867.9981661521715,883.8517583315485,867.9981661521715,884.6244955022834,1013.9762966171453,874.7840135266359,905.1225106840021,905.9452864615832,905.1225106840021,905.9452864615832,936.9029054761953,1053.0972506507087,907.876910518351
2026-06-14 19:00:00,600.97868,961.2321218461609,948.0508187126602,961.2321218461609,948.0508187126602,973.3217293134089,1085.9701449330776,952.0600418652585,985.6786617108595,986.7965784704274,985.6786617108595,986.7965784704274,1034.1161003255202,1125.4791126020662,987.6289619347442
2026-06-14 20:00:00,503.97868,720.9146949482181,727.2897731970874,720.9146949482181,727.2897731970874,744.4770254868899,735.8341078505402,723.9287320953202,731.1894020955758,731.8054831934639,731.1894020955759,731.8054831934639,775.1633175747179,745.3587785892829,731.2906987500734
2026-06-14 21:00:00,600.97868,864.800174798751,850.2434480027761,864.800174798751,850.2434480027761,891.9138660504601,961.4148464352804,856.2230194309569,889.5757499035736,890.6335300766904,889.5757499035736,890.6335300766904,947.0365439039192,1001.2566658890818,891.9402769728082
2026-06-14 22:00:00,552.97868,591.4839464602456,591.8761342419167,591.4839464602456,591.8761342419167,606.034796612178,627.6569782696401,595.1525699471778,598.0762965874485,597.9407766828831,598.0762965874485,597.9407766828831,625.0571464840398,636.5310065724458,599.2147345438987
2026-06-14 23:00:00,503.97868,525.6657081819721,523.3724182801856,525.6657081819721,523.3724182801856,530.1438124587104,523.1672966438912,528.3179510503147,531.5384015814354,531.1710497125,531.5384015814354,531.1710497125,544.2254503572726,530.1483249334032,532.3494689842508
2026-06-15 00:00:00,340.96241,474.11155769444395,472.05708837460986,474.111557694444,472.05708837460986,475.2233240001232,472.1318532919492,474.111557694444,473.1835466481515,472.99171580293057,473.1835466481515,472.99171580293057,466.5993984873889,464.4223272236427,473.1835466481515
2026-06-15 01:00:00,340.96241,355.12754184053017,358.1523319046102,355.12754184053017,358.1523319046102,355.64718575594236,443.9069884109299,355.12754184053017,354.57604854070973,354.96021080495024,354.57604854070973,354.96021080495024,353.16680431981786,442.31668687819854,354.57604854070973
2026-06-15 02:00:00,340.96241,377.66548906889693,378.2421160635069,377.66548906889693,378.2421160635069,368.97681326360384,438.7562218437911,377.66548906889693,377.07868811078896,377.1875555921291,377.0786881107889,377.1875555921291,365.82061270142367,441.28958737664385,377.0786881107889
2026-06-15 03:00:00,340.96241,383.4697386770172,381.172609666873,383.4697386770172,381.172609666873,386.18710073311706,442.09489481730526,383.4697386770172,381.5514127498551,381.1364443176132,381.55141274985505,381.1364443176132,381.51721152979303,447.10098380466195,381.55141274985505
2026-06-15 04:00:00,340.96241,410.49587086485343,403.40469651488985,410.49587086485343,403.40469651488985,397.5958493119394,419.55878739774255,410.49587086485343,406.6044520900606,405.36156363419406,406.6044520900606,405.36156363419406,393.27010221899263,420.93196689303073,406.6044520900606
2026-06-15 05:00:00,340.96241,438.94535587569544,427.2249636079461,438.94535587569544,427.2249636079461,415.1301642584164,430.7708950529006,438.94535587569544,432.5133193585912,430.3790194517426,432.5133193585912,430.3790194517426,410.36194477763576,432.3715008473515,432.5133193585912
