fecha_hora,real,pred_A,pred_B,pred_C,pred_D,pred_E,pred_F,pred_G,pred_H
2026-05-15 07:00:00,666.05494,739.198257731513,725.4601343395143,742.3264728326308,744.3746631977158,741.785371810376,740.8773800725803,720.913034636047,764.9744868723106
2026-05-15 08:00:00,644.65294,732.8215833986064,720.045891249675,737.6150068025361,739.1476038425455,736.810066131594,734.9219487121973,715.6438821461462,762.1437866364541
2026-05-15 09:00:00,642.65294,734.520008290853,721.9261869581933,739.4701453569518,741.0018963542275,738.662355467794,736.7171993000152,717.5410045541805,764.7887442389383
2026-05-15 10:00:00,666.05494,736.1354241648764,723.3920488617184,741.4892641720504,742.9454200642806,740.531676630759,738.5220826719325,718.7675929237599,768.0266636583403
2026-05-15 11:00:00,698.50794,762.1763583691405,752.2732165296834,768.3155025317019,769.2784806236282,766.8160677411697,762.5585926204265,747.9087813211465,781.2514880778397
2026-05-15 12:00:00,792.65294,764.8998590952892,754.78874269391,769.3635586331571,771.004524742064,769.2867024959512,765.6659359397182,753.4571433229336,786.9916398832024
2026-05-15 13:00:00,792.65294,785.4355163125722,776.52036685314,790.4176856115258,791.8453594124151,789.0813960286728,785.4128730596481,771.2744535673869,802.379994623301
2026-05-15 14:00:00,792.65294,799.9450296360974,789.7668445600935,804.922178892457,806.4431983946895,803.8641404476514,800.054943748175,785.3380134667283,817.8770246559013
2026-05-15 15:00:00,792.65294,805.3277905174193,796.0432499883152,811.0708306575038,812.4056814504711,809.8174609162386,805.9041425987407,790.4950735272681,827.0262518058756
2026-05-15 16:00:00,801.65294,846.4730540056503,839.3215028397273,850.811813826803,852.5027606475055,848.9565014747666,845.2313192225903,831.9806157153238,855.7841603077302
2026-05-15 17:00:00,822.65294,876.9717412898945,867.76049881985,878.0140561339479,880.9266284967434,876.5384767651922,875.4449872621644,858.0084637729884,883.8606315229904
2026-05-15 18:00:00,902.65294,941.1577558296661,930.2712828815907,942.2780130236673,944.8883368438508,936.7930010623255,936.3031892605114,920.2191267129078,928.2208944180226
2026-05-15 19:00:00,1082.65294,940.257954914731,929.4994418995569,944.1258975701197,945.7988401600485,938.4523700802145,936.0759551326418,920.738689836913,931.466241243387
2026-05-15 20:00:00,902.65294,918.477220928679,905.8724477066156,923.7956309851818,924.7662930121039,917.0748535255171,914.5767224591013,888.3294104990678,910.3905733090114
2026-05-15 21:00:00,902.65294,857.6072266043681,850.4771254571168,860.2614809763014,862.161500451735,858.6904301333986,856.1845853164834,842.1642068630413,863.3942232669933
2026-05-15 22:00:00,822.65294,825.455034752655,813.9624192910393,826.3140959772234,828.7668023950471,826.026711438189,824.9288111965615,808.759120963608,835.3966559803897
2026-05-15 23:00:00,792.65294,812.4630274303827,800.6472943776135,813.3709965154233,815.5892647119008,813.1590621459725,811.5663397265791,797.2011819892496,818.7696894599534
2026-05-16 00:00:00,691.8236,787.3658417614987,771.95706941221,794.1116203746324,796.2927836458742,793.8635981046621,792.9828394154983,775.2800008677611,801.5640174013423
2026-05-16 01:00:00,693.1876,707.7662082193106,696.4359734570444,705.6241492841394,713.2929829999408,713.4204893992646,709.2749730235339,712.6564355549735,698.1044099916556
2026-05-16 02:00:00,798.6876,701.1563603497666,689.1550582897122,704.4258134521796,710.35479853351,710.5320797157626,705.5854467906156,702.8207722805798,704.2117241319846
2026-05-16 03:00:00,691.8236,702.2993601527336,689.9671783962068,705.5485258289548,711.4735088986419,711.5982370260278,706.727310401551,703.6736186511757,705.5220958890211
2026-05-16 04:00:00,798.6876,699.449844344222,687.565669779992,702.4928280335656,709.6827275718854,709.5319372023991,704.2143561329558,700.8115720221929,700.7046589080626
2026-05-16 05:00:00,798.6876,691.9479785288486,680.7389125302936,698.7155041316627,705.6010878068813,705.5731064618606,699.0648478534197,692.1018656565022,700.4809693701395
2026-05-16 06:00:00,691.8236,682.6378299069296,672.1893555271668,689.293506520419,696.787680609009,697.0004042597795,689.9357037503707,684.3565248628066,690.391422249627
2026-05-16 07:00:00,442.8236,649.4716951507295,639.6039847314287,657.7022416081437,659.3570935794042,660.6873529455436,655.6313109320247,651.4514860929323,666.6338226999801
2026-05-16 08:00:00,442.8236,632.6432335168367,623.870187887823,644.9647289114769,645.5109140139723,646.4742320693218,641.1025333494705,631.2255599749786,658.4339390690157
2026-05-16 09:00:00,442.8236,635.5475336633895,627.1705723260686,646.7432296465246,647.3939191605338,648.3206695829966,643.3719262377199,634.8294997912722,659.4428814548468
2026-05-16 10:00:00,509.8466,646.2766327810276,637.9927505406612,657.9678469524041,659.5278198216297,660.6308484350282,654.8700290270126,646.6870869621059,670.7159769853643
2026-05-16 11:00:00,442.8236,653.8601901458853,645.7762844996626,666.8200079025121,669.8390799164453,670.4025452750284,663.9397226301743,652.7399079417075,679.2162502130274
2026-05-16 12:00:00,442.8236,678.5867801294884,671.3436972004338,690.6675335795635,698.2754698938236,698.3930997210564,689.9367865557596,678.7121880019183,698.1213509626369
2026-05-16 13:00:00,442.8236,695.4676472044267,687.7528358272855,708.4982167627222,715.2098601103878,714.759611422467,707.210533508819,692.9801039273601,718.291491999074
2026-05-16 14:00:00,691.8236,710.4251187367579,702.2247361663441,725.4210156856803,731.0848163775346,730.2329328423633,723.151379961402,705.4458985935257,738.5413907435727
2026-05-16 15:00:00,798.6876,729.4116648769772,720.4396932189933,746.4128941718185,750.7779230535515,749.4357064894168,743.0449391672541,720.7518005399293,763.1724334922482
2026-05-16 16:00:00,798.6876,748.8957184438177,740.4929380257461,765.6620710847984,769.4377884258861,767.305065269506,762.1358490004793,738.7762502593023,783.4185501267563
2026-05-16 17:00:00,802.8236,772.7795929366076,764.2980351871537,788.6326363219929,792.4825457646123,789.8753690806539,785.4520068237175,765.4066343809579,805.6610192208409
2026-05-16 18:00:00,832.8236,818.6387011466214,807.8405313334574,832.6661619257175,839.4458074767933,836.3812854908431,831.384330877358,811.7787135244765,847.3093112190985
2026-05-16 19:00:00,822.8236,874.980811683867,859.5647049814983,886.0728685066035,901.848988033764,894.3373804140929,889.5715399303851,855.4399461764389,890.4832121600748
2026-05-16 20:00:00,822.8236,826.2728229141132,814.2819517315971,843.2398489343873,848.7529207119946,845.2039275857157,840.3730261707319,814.5998217083533,860.8929504939815
2026-05-16 21:00:00,802.8236,820.7517369248615,808.7239825463145,828.7052261471998,836.0982006383083,832.8359913571893,829.5052607936528,815.1261564983704,835.6175111728119
2026-05-16 22:00:00,798.6876,789.858595159151,777.9433881960342,798.4918955538858,802.3840937922041,798.970791349137,797.5668650634852,777.7742038524481,807.7246398474488
2026-05-16 23:00:00,798.6876,762.9535098385204,750.3012379622289,771.3582305569186,774.9056614520907,772.3013216396557,770.3064672566368,752.6092506181071,780.5249835012262
