fecha_hora,real,Persistencia,ARX_rec,XGB_rec,NBEATSx_rec,NHITS_rec
2026-01-04 16:00:00,330.47952,352.07947,356.62881903208415,328.3527,315.7475,324.72607
2026-01-04 17:00:00,334.47952,354.48147,359.24247150754195,332.07135,334.60043,327.55624
2026-01-04 18:00:00,347.07752,354.48147,359.55084270187314,333.67432,348.0932,332.45468
2026-01-04 19:00:00,347.07752,354.48147,359.919394058651,332.9283,351.84195,337.78836
2026-01-04 20:00:00,347.07752,354.48147,360.323272993411,332.9283,345.49554,339.18088
2026-01-04 21:00:00,343.47952,354.48147,360.735147087887,332.43573,341.7304,336.424
2026-01-04 22:00:00,342.47952,352.07947,358.7268315495224,330.7712,336.48962,328.8854
2026-01-04 23:00:00,334.47952,352.07947,359.0697713211927,329.7399,333.0962,315.89554
2026-01-05 00:00:00,293.94594,282.47952,288.5051417643509,298.9701,321.36072,310.12088
2026-01-05 01:00:00,293.94594,282.47952,288.49293570047536,294.53394,293.98053,294.17728
2026-01-05 02:00:00,269.57794,282.47952,288.4861342843419,293.75522,294.3418,294.29996
2026-01-05 03:00:00,262.43094,282.47952,288.3943013035033,291.6491,295.17172,295.26428
2026-01-05 04:00:00,269.57794,282.47952,288.21894895420354,292.20035,300.8822,298.0886
2026-01-05 05:00:00,293.94594,282.47952,287.96734719097066,296.4854,310.7428,301.48657
2026-01-05 06:00:00,334.16294,282.47952,287.65200266075686,296.79276,310.90524,301.5601
2026-01-05 07:00:00,334.16294,282.47952,287.28976929225587,298.06082,318.11734,306.73422
2026-01-05 08:00:00,334.16294,282.47952,286.90066070131144,297.6275,320.5526,313.17593
2026-01-05 09:00:00,334.16294,268.11152,272.2094069358235,284.55692,327.0621,318.65417
2026-01-05 10:00:00,334.16294,268.11152,271.850975436895,292.50482,331.41888,326.49783
2026-01-05 11:00:00,334.16294,282.47952,285.789703225178,309.37167,335.87503,328.3653
2026-01-05 12:00:00,334.16294,282.47952,285.50615850915636,308.2127,344.22144,335.63095
2026-01-05 13:00:00,338.94594,282.47952,285.2929236052825,315.05948,349.1006,338.88998
2026-01-05 14:00:00,338.94594,282.47952,285.1595892831225,316.5534,354.219,344.66992
2026-01-05 15:00:00,338.94594,282.47952,285.1103559665573,317.2605,358.87903,346.6629
2026-01-05 16:00:00,338.94594,330.47952,332.5814761235954,353.17136,363.47992,344.82748
2026-01-05 17:00:00,338.94594,334.47952,336.6569700950935,353.17136,363.7563,345.33
