fecha_hora,N-BEATSx_3a,N-HiTS_3a,N-BEATSx_5a,N-HiTS_5a
2026-01-06 22:00:00,325.10834,324.94858,314.71832,326.03915
2026-01-06 23:00:00,313.36285,310.0691,307.5785,313.5216
2026-01-07 00:00:00,307.4149,297.45584,294.61224,306.74084
2026-01-07 01:00:00,246.07722,249.92253,250.70007,249.69757
2026-01-07 02:00:00,228.30783,247.63289,250.07635,249.14621
2026-01-07 03:00:00,225.88101,238.30899,246.75961,246.44263
2026-01-07 04:00:00,223.19945,231.668,240.16443,241.40057
2026-01-07 05:00:00,220.33429,227.70055,241.41953,237.83731
2026-01-07 06:00:00,220.57104,228.65399,243.28528,235.14572
2026-01-07 07:00:00,219.63748,226.46576,240.41766,237.01982
2026-01-07 08:00:00,218.55815,229.15926,239.88974,243.04073
2026-01-07 09:00:00,217.73346,232.16057,245.19257,248.9355
2026-01-07 10:00:00,216.05309,233.78502,246.50418,255.79767
2026-01-07 11:00:00,214.23393,234.55121,249.07834,262.3634
2026-01-07 12:00:00,220.0948,236.32281,252.57738,267.43246
2026-01-07 13:00:00,221.6836,232.73541,250.55789,273.08096
2026-01-07 14:00:00,226.61597,234.83406,253.1786,278.17413
2026-01-07 15:00:00,232.93384,243.3399,259.15363,282.64642
2026-01-07 16:00:00,238.65839,247.74895,264.38403,285.90128
2026-01-07 17:00:00,247.63203,256.73196,274.8341,287.96942
2026-01-07 18:00:00,249.02225,260.63885,277.7339,292.61285
2026-01-07 19:00:00,255.35966,263.13336,283.84058,300.11475
2026-01-07 20:00:00,258.43008,270.21796,273.23465,301.64777
2026-01-07 21:00:00,254.45396,260.5445,261.0471,296.2864
2026-01-07 22:00:00,238.75345,250.12138,251.11824,284.512
2026-01-07 23:00:00,232.02977,238.43031,242.37521,266.69955
2026-01-08 00:00:00,236.62595,229.28067,234.77878,257.90854
2026-01-08 01:00:00,114.08109,105.431274,108.53044,105.76596
2026-01-08 02:00:00,123.657104,96.14329,108.16119,104.43773
2026-01-08 03:00:00,149.42575,98.17803,107.460846,100.52439
2026-01-08 04:00:00,170.9065,98.48276,121.25344,103.518524
2026-01-08 05:00:00,178.35838,108.547226,165.92482,117.024216
2026-01-08 06:00:00,185.48613,119.744125,192.02472,126.07485
2026-01-08 07:00:00,186.31906,119.06191,202.76878,132.9264
2026-01-08 08:00:00,183.13065,123.59813,208.51155,143.4198
2026-01-08 09:00:00,176.07402,135.76569,217.38397,154.70741
2026-01-08 10:00:00,182.388,150.40904,218.27432,166.29016
2026-01-08 11:00:00,185.24655,159.8299,224.15775,178.19992
2026-01-08 12:00:00,206.42789,169.51886,215.1914,189.95166
2026-01-08 13:00:00,234.38028,184.8725,225.60532,203.5287
2026-01-08 14:00:00,237.806,200.07498,233.9873,213.96709
2026-01-08 15:00:00,241.97386,216.10373,246.13472,223.90114
2026-01-08 16:00:00,243.77295,226.8003,243.70761,233.08907
2026-01-08 17:00:00,253.40976,254.91507,245.19757,241.1866
2026-01-08 18:00:00,279.66214,273.66064,256.00272,252.51013
2026-01-08 19:00:00,304.04486,279.11514,261.79132,266.26517
2026-01-08 20:00:00,308.03168,255.27953,261.16156,270.6187
2026-01-08 21:00:00,292.8095,214.85736,247.63065,263.61966
2026-01-08 22:00:00,255.95209,174.87302,228.86089,234.28297
2026-01-08 23:00:00,212.06303,130.20149,207.15244,181.98096
2026-01-09 00:00:00,191.58714,107.41315,181.56255,155.40779
2026-01-09 01:00:00,151.84467,150.44113,149.75317,142.04181
2026-01-09 02:00:00,152.32495,143.69736,149.61447,141.11366
2026-01-09 03:00:00,148.98796,146.46027,151.18506,138.34842
2026-01-09 04:00:00,148.08142,143.71992,150.786,138.03625
2026-01-09 05:00:00,154.74657,145.40285,150.70877,141.39594
2026-01-09 06:00:00,157.23215,149.47107,157.71652,146.21758
2026-01-09 07:00:00,163.77353,145.97697,158.07385,153.03893
2026-01-09 08:00:00,170.24535,145.33585,159.83968,165.43512
2026-01-09 09:00:00,174.69809,148.61499,167.78047,184.05585
2026-01-09 10:00:00,186.31537,156.25192,172.08282,200.05795
2026-01-09 11:00:00,197.06552,165.66673,184.47409,213.5421
2026-01-09 12:00:00,212.21657,172.63857,194.45877,224.81143
2026-01-09 13:00:00,220.75165,186.09274,201.66432,237.4487
2026-01-09 14:00:00,234.14383,206.60648,207.77257,245.53906
2026-01-09 15:00:00,253.64569,220.56224,217.80707,253.13164
2026-01-09 16:00:00,267.0856,233.82877,227.41437,262.29572
2026-01-09 17:00:00,268.39417,250.09659,235.02077,272.63483
2026-01-09 18:00:00,285.86847,264.34555,250.87994,283.24606
2026-01-09 19:00:00,294.34546,281.40506,267.4484,292.96228
2026-01-09 20:00:00,287.4599,269.54617,259.97052,290.05
2026-01-09 21:00:00,263.58615,237.83257,249.66934,271.6404
2026-01-09 22:00:00,237.29199,210.84074,225.00864,241.44861
2026-01-09 23:00:00,216.5798,185.2977,210.74849,197.76086
2026-01-10 00:00:00,194.20125,165.3395,188.5259,175.37265
2026-01-10 01:00:00,178.4278,177.73476,176.2599,176.35072
2026-01-10 02:00:00,178.14517,173.29115,176.41557,175.43839
2026-01-10 03:00:00,176.15996,174.85582,175.52022,174.94345
2026-01-10 04:00:00,175.70126,177.78174,178.85709,174.11205
2026-01-10 05:00:00,177.92091,174.91882,174.37265,172.72792
2026-01-10 06:00:00,173.00255,171.6123,167.17351,170.99626
2026-01-10 07:00:00,173.38855,172.45314,166.6612,169.77214
2026-01-10 08:00:00,170.48894,174.4368,166.8587,171.85785
2026-01-10 09:00:00,172.09074,175.319,174.6945,176.57127
2026-01-10 10:00:00,172.42148,185.19199,177.17067,181.06816
2026-01-10 11:00:00,174.70117,186.73502,178.24242,185.91866
2026-01-10 12:00:00,180.68356,190.24205,178.42151,191.67407
2026-01-10 13:00:00,186.86412,195.88118,177.17097,197.64291
2026-01-10 14:00:00,193.8523,204.61893,181.95653,204.20366
2026-01-10 15:00:00,202.43198,213.42781,181.6601,210.33055
2026-01-10 16:00:00,218.05145,221.00798,189.2529,215.16608
2026-01-10 17:00:00,236.03181,231.61002,196.7068,219.81508
2026-01-10 18:00:00,245.59811,239.98784,210.80367,231.8537
2026-01-10 19:00:00,247.90392,255.0483,226.35951,250.59615
2026-01-10 20:00:00,252.00113,261.16876,224.95859,250.78775
2026-01-10 21:00:00,238.95903,247.73863,216.26814,237.95732
2026-01-10 22:00:00,217.5115,224.87924,192.64017,221.10121
2026-01-10 23:00:00,195.28223,205.06299,184.75984,201.5764
2026-01-11 00:00:00,189.5084,191.85507,177.40283,188.41704
2026-01-11 01:00:00,125.44663,123.82606,120.30618,121.923744
2026-01-11 02:00:00,127.49606,117.73387,119.03606,122.07234
2026-01-11 03:00:00,124.89987,124.28126,124.036964,122.51637
2026-01-11 04:00:00,127.5067,128.02362,122.832405,122.74257
2026-01-11 05:00:00,133.14528,121.07451,121.45308,123.7572
2026-01-11 06:00:00,126.39294,123.92093,119.06958,122.45543
2026-01-11 07:00:00,125.37802,122.76018,113.59448,117.92442
2026-01-11 08:00:00,125.290405,128.31212,113.98696,116.569626
2026-01-11 09:00:00,128.27129,129.48271,115.58058,118.39404
2026-01-11 10:00:00,127.20725,136.3879,114.53586,119.94278
2026-01-11 11:00:00,132.34529,136.18607,115.18338,122.17311
2026-01-11 12:00:00,138.56487,145.45029,120.02557,128.04703
2026-01-11 13:00:00,145.29277,148.9761,125.79676,136.94829
2026-01-11 14:00:00,151.78125,161.58722,129.85182,146.37178
2026-01-11 15:00:00,163.36034,173.25308,136.3955,155.51875
2026-01-11 16:00:00,184.41606,186.30107,143.56049,164.4533
2026-01-11 17:00:00,207.91035,203.24475,153.79584,174.84383
2026-01-11 18:00:00,220.69394,216.57637,175.94073,188.8917
2026-01-11 19:00:00,237.56018,228.89449,206.34154,205.79428
2026-01-11 20:00:00,241.85474,237.3115,210.03,206.92183
2026-01-11 21:00:00,224.17004,231.97939,196.02348,197.31601
2026-01-11 22:00:00,200.88783,205.27829,166.95128,181.67
2026-01-11 23:00:00,176.849,170.15157,153.37558,162.17577
2026-01-12 00:00:00,175.10106,149.07462,139.87114,149.99435
2026-01-12 01:00:00,120.57755,116.92805,118.291985,118.18596
2026-01-12 02:00:00,120.97529,113.55099,119.47344,114.05154
2026-01-12 03:00:00,119.599884,115.38596,122.77526,115.607185
2026-01-12 04:00:00,118.67482,121.28985,122.02032,117.45699
2026-01-12 05:00:00,121.42906,114.183975,121.20123,116.0264
2026-01-12 06:00:00,119.55973,112.27596,119.47213,115.57773
2026-01-12 07:00:00,120.30609,108.87965,117.07905,113.93654
2026-01-12 08:00:00,122.287704,109.18649,118.260635,115.41418
2026-01-12 09:00:00,120.86282,109.68892,119.767914,115.354095
2026-01-12 10:00:00,121.04105,106.815315,118.36324,115.738144
2026-01-12 11:00:00,122.461586,114.50967,124.53794,116.09035
2026-01-12 12:00:00,128.05359,114.84831,124.14259,116.281425
2026-01-12 13:00:00,131.34337,116.85851,126.22913,115.45581
2026-01-12 14:00:00,129.5716,125.647766,132.81718,115.818726
2026-01-12 15:00:00,140.5343,133.53072,133.86743,118.8594
2026-01-12 16:00:00,150.33203,145.01526,135.26157,122.47704
2026-01-12 17:00:00,155.95485,155.03429,134.72203,125.80015
2026-01-12 18:00:00,168.66443,163.26138,151.12294,134.32799
2026-01-12 19:00:00,192.7386,177.94676,168.4609,148.27759
2026-01-12 20:00:00,202.40341,186.62872,175.64194,148.9728
2026-01-12 21:00:00,191.354,165.19965,161.9581,141.06758
2026-01-12 22:00:00,163.39183,136.0596,136.7788,133.0298
2026-01-12 23:00:00,136.8062,128.18732,124.80205,126.540665
2026-01-13 00:00:00,128.12465,119.29361,123.55432,119.027695
2026-01-13 01:00:00,107.55575,106.59752,105.31333,105.178535
2026-01-13 02:00:00,109.093254,107.088844,104.99111,104.15399
2026-01-13 03:00:00,112.08857,114.53957,101.78468,103.18828
