fecha_hora,real,TFT,LSTM
2026-01-15 08:00:00,117.54694,142.82253,109.28158
2026-01-15 09:00:00,111.95694,152.35432,112.20787
2026-01-15 10:00:00,117.54694,160.49156,116.530495
2026-01-15 11:00:00,117.54694,167.50443,121.793205
2026-01-15 12:00:00,117.54694,174.3575,124.23204
2026-01-15 13:00:00,119.09994,183.32278,126.71866
2026-01-15 14:00:00,190.55694,194.97427,142.28313
2026-01-15 15:00:00,190.55694,205.41832,150.20026
2026-01-15 16:00:00,190.55694,214.13712,156.9516
2026-01-15 17:00:00,190.55694,223.13773,195.47624
2026-01-15 18:00:00,190.55694,249.25543,215.44235
2026-01-15 19:00:00,191.55694,271.89697,221.30988
2026-01-15 20:00:00,190.55694,274.5248,212.41678
2026-01-15 21:00:00,190.55694,249.58926,199.14096
2026-01-15 22:00:00,190.55694,185.6653,139.33707
2026-01-15 23:00:00,117.54694,125.49693,119.72798
2026-01-16 00:00:00,109.64545,79.682945,104.288506
2026-01-16 01:00:00,109.64545,114.61253,107.61972
2026-01-16 02:00:00,109.64545,113.81189,106.055756
2026-01-16 03:00:00,109.64545,110.59773,106.264114
2026-01-16 04:00:00,109.64545,107.92235,108.45319
2026-01-16 05:00:00,109.64545,107.11469,111.86468
2026-01-16 06:00:00,109.64545,109.091644,118.02797
2026-01-16 07:00:00,109.64545,116.64137,122.91222
2026-01-16 08:00:00,109.64545,126.40392,127.140526
2026-01-16 09:00:00,109.64545,134.34332,127.647865
2026-01-16 10:00:00,109.64545,140.42064,132.25662
2026-01-16 11:00:00,109.64545,145.1469,134.36835
2026-01-16 12:00:00,109.64545,148.97473,133.791
2026-01-16 13:00:00,109.64545,152.28123,133.67264
2026-01-16 14:00:00,109.64545,155.20737,156.44464
2026-01-16 15:00:00,109.64545,157.25226,164.08194
2026-01-16 16:00:00,113.78145,157.18642,166.02704
2026-01-16 17:00:00,117.24545,157.97375,165.48167
2026-01-16 18:00:00,168.24545,189.52515,169.03886
2026-01-16 19:00:00,168.24545,213.57764,169.4721
2026-01-16 20:00:00,168.24545,193.94727,165.97223
2026-01-16 21:00:00,117.24545,165.71909,162.01764
2026-01-16 22:00:00,109.64545,138.33029,159.02159
2026-01-16 23:00:00,109.64545,114.22724,115.402016
2026-01-17 00:00:00,100.55036,97.500275,95.43159
2026-01-17 01:00:00,100.55036,106.03664,99.82718
2026-01-17 02:00:00,100.55036,104.67767,103.060875
2026-01-17 03:00:00,100.55036,103.38968,104.80697
2026-01-17 04:00:00,100.55036,102.6997,106.38713
2026-01-17 05:00:00,100.55036,102.566795,108.02211
2026-01-17 06:00:00,104.68636,103.11571,109.66388
2026-01-17 07:00:00,100.55036,105.3088,111.31714
2026-01-17 08:00:00,100.55036,107.81439,112.756714
2026-01-17 09:00:00,100.55036,109.45964,113.97128
2026-01-17 10:00:00,100.55036,110.77428,114.74006
2026-01-17 11:00:00,100.55036,111.917175,114.924324
2026-01-17 12:00:00,100.55036,112.86936,114.203354
2026-01-17 13:00:00,100.55036,113.61072,113.65224
2026-01-17 14:00:00,100.55036,114.120316,113.28814
2026-01-17 15:00:00,100.55036,114.46886,113.14373
2026-01-17 16:00:00,108.15036,115.56832,114.36657
2026-01-17 17:00:00,114.15036,121.40845,115.74592
2026-01-17 18:00:00,126.15036,161.6612,126.70989
2026-01-17 19:00:00,126.15036,198.983,131.92755
2026-01-17 20:00:00,126.15036,167.98187,133.03568
2026-01-17 21:00:00,126.15036,136.36002,120.079544
2026-01-17 22:00:00,126.15036,118.7755,112.0788
2026-01-17 23:00:00,108.15036,108.952324,110.40328
2026-01-18 00:00:00,105.32193,102.77579,106.78368
2026-01-18 01:00:00,105.32193,108.896454,104.609535
2026-01-18 02:00:00,105.32193,107.12446,103.40539
2026-01-18 03:00:00,103.31193,105.224396,102.57903
2026-01-18 04:00:00,101.85793,103.87117,102.17765
2026-01-18 05:00:00,103.31193,103.02099,102.05783
2026-01-18 06:00:00,97.72193,102.48322,103.12187
2026-01-18 07:00:00,97.72193,102.78296,102.838
2026-01-18 08:00:00,97.72193,103.651276,102.253426
2026-01-18 09:00:00,97.72193,104.43736,101.82155
2026-01-18 10:00:00,97.72193,105.21007,101.433075
2026-01-18 11:00:00,97.72193,105.981575,101.26948
2026-01-18 12:00:00,97.72193,106.69506,101.08982
2026-01-18 13:00:00,97.72193,107.29386,101.122955
2026-01-18 14:00:00,97.72193,107.6977,101.69231
2026-01-18 15:00:00,97.72193,107.803635,102.49982
2026-01-18 16:00:00,105.32193,107.86357,104.86137
2026-01-18 17:00:00,113.32193,109.61083,107.9806
2026-01-18 18:00:00,166.32193,119.28907,112.8636
2026-01-18 19:00:00,171.32193,133.30493,114.960266
2026-01-18 20:00:00,171.32193,128.02783,115.89019
2026-01-18 21:00:00,166.32193,118.99662,115.98331
2026-01-18 22:00:00,166.32193,112.05863,115.36523
2026-01-18 23:00:00,113.32193,106.35482,110.375015
2026-01-19 00:00:00,111.91666,98.619316,103.86983
2026-01-19 01:00:00,107.91666,106.937,103.38763
2026-01-19 02:00:00,105.90666,105.89415,103.23976
2026-01-19 03:00:00,107.91666,105.10183,102.91446
2026-01-19 04:00:00,107.91666,105.3108,102.990486
2026-01-19 05:00:00,111.91666,106.311134,104.25304
2026-01-19 06:00:00,149.91666,106.92894,104.42403
2026-01-19 07:00:00,149.91666,107.54667,105.46038
2026-01-19 08:00:00,149.91666,109.35423,107.0838
2026-01-19 09:00:00,111.91666,111.31661,108.71344
2026-01-19 10:00:00,149.91666,113.37125,110.35731
2026-01-19 11:00:00,149.91666,115.60357,111.84119
2026-01-19 12:00:00,149.91666,118.26237,112.79934
2026-01-19 13:00:00,149.91666,122.04243,113.24898
2026-01-19 14:00:00,149.91666,127.95038,113.26253
2026-01-19 15:00:00,158.91666,135.88605,112.595375
2026-01-19 16:00:00,173.91666,149.40768,113.48498
2026-01-19 17:00:00,178.91666,188.07884,116.33056
2026-01-19 18:00:00,178.91666,203.66762,143.55473
2026-01-19 19:00:00,178.91666,204.03712,154.38013
2026-01-19 20:00:00,178.91666,203.51315,154.1323
2026-01-19 21:00:00,178.91666,201.38464,150.4271
2026-01-19 22:00:00,178.91666,129.41344,148.82666
2026-01-19 23:00:00,173.91666,115.67091,126.8136
2026-01-20 00:00:00,174.33117,111.451546,122.3956
2026-01-20 01:00:00,174.33117,140.76527,123.39413
2026-01-20 02:00:00,174.33117,139.95158,126.60661
2026-01-20 03:00:00,174.33117,138.16687,130.44897
2026-01-20 04:00:00,174.33117,137.56322,133.58894
2026-01-20 05:00:00,176.23117,139.60657,137.02362
2026-01-20 06:00:00,176.33117,142.9043,147.62465
