fecha_hora,real,v4 (referencia),nivel v4 + forma ajustada (ronda 1),nivel v4 + forma ajustada con perfiles semanales,nivel v4 + forma perfil7 puro,Persistencia,v4 desplegable (referencia),nivel v4 desplegable + forma desplegable con perfiles
2026-05-10 13:00:00,147.46811,229.7056975962357,227.14883123350683,222.7637066971837,191.22731132209972,148.73167,234.7583726180389,230.69040873223116
2026-05-10 14:00:00,147.46811,231.90530485158223,231.47920013805114,228.57617664244697,209.59440132209974,163.73167,235.6303900187161,236.219495423706
2026-05-10 15:00:00,218.46811,240.60348171193343,238.753922799542,235.56646774848826,212.78520132209974,163.73167,245.59926496694095,242.7460793423848
2026-05-10 16:00:00,267.46811,255.7191559738311,260.53250388923016,259.9961121582059,255.0944013220997,218.73167,258.6684839650021,264.8315444474283
2026-05-10 17:00:00,276.57911,282.3625841654283,297.758168932111,294.4338380349975,269.67267132209975,308.73167,277.7052832796497,302.29990267441474
2026-05-10 18:00:00,358.46811,374.8551784290958,393.66754503177833,401.7419544388044,465.72731132209975,438.73167,356.2857444136645,380.35361172246115
2026-05-10 19:00:00,358.46811,404.8259607264952,422.09859763159767,493.03426200374406,1078.4123113220996,458.73167,378.82164209537416,401.3339820299992
2026-05-10 20:00:00,358.46811,333.59701162288684,339.0455091176941,351.4388316036588,456.6542013220997,308.73167,314.2939587742013,328.325088188944
2026-05-10 21:00:00,358.46811,311.11693530868496,319.8262180605627,332.9617597532655,436.6542013220997,308.73167,297.4282790424445,314.94752302566394
2026-05-10 22:00:00,358.46811,278.01826747886014,282.36560852517005,278.2111908311876,241.6542013220997,246.05567,261.4203994659196,275.845375285877
2026-05-10 23:00:00,353.46811,270.3891538182921,274.90475609029187,267.34823248093744,205.16973132209975,238.73167,254.5712308108645,268.89766313606464
2026-05-11 00:00:00,276.39693,270.26105663108547,281.6068149578301,269.88423796202954,191.22731132209972,276.57911,268.3757880504419,287.6538199987594
2026-05-11 01:00:00,278.39693,277.2826199391548,290.10162462104483,284.91646100853103,248.53470298473,276.57911,276.44890244376785,297.22947768731285
2026-05-11 02:00:00,276.39693,279.8506734890535,291.11718024110974,285.3529041643764,247.38859298472997,267.46811,278.84099675489927,297.47200303593837
2026-05-11 03:00:00,268.39693,274.5851703985498,280.23345050013836,275.86223666313936,246.57039298472998,229.46811,273.5998991092594,282.43208844876
2026-05-11 04:00:00,276.39693,283.2667493602327,293.8424056660862,287.9285531988694,247.38859298472997,267.46811,282.46724883583533,299.8204005297745
2026-05-11 05:00:00,292.39693,291.10503543877746,294.11771787660473,290.22177597297775,265.75568298473,229.46811,289.9047096033819,294.5106193342657
2026-05-11 06:00:00,278.39693,261.2919043877181,257.030043152928,255.56184647134995,247.38859298472997,147.46811,268.08269746057977,256.9939130701786
2026-05-11 07:00:00,307.39693,267.7029978049621,261.5123083247165,259.7691368234118,242.81548298472998,147.46811,271.0934497490423,257.97102331907075
2026-05-11 08:00:00,278.39693,279.8081956542445,270.66588832021915,268.6797368824305,242.81548298472998,147.46811,276.40650324339344,261.68957947339254
2026-05-11 09:00:00,276.39693,281.2919112944965,271.7244682841912,269.2351693049985,238.31548298472998,147.46811,276.65688590757884,261.86834089855336
2026-05-11 10:00:00,278.39693,289.9036568187084,278.29988362812105,276.03647124414596,242.81548298472998,147.46811,279.52917646528635,264.41359860118405
2026-05-11 11:00:00,307.39693,298.5199887299926,285.375768792941,282.982991912248,247.38859298472997,147.46811,287.10276897929737,269.97040325229534
2026-05-11 12:00:00,307.39693,259.6655756704771,257.0231830686423,256.0015094835565,247.38859298472997,147.46811,269.9158910928933,262.56518499217304
2026-05-11 13:00:00,307.39693,268.4424394628033,264.55474839386665,262.7022181408001,247.38859298472997,147.46811,279.45500910588294,269.73368402600425
2026-05-11 14:00:00,458.39693,279.53218541758224,273.99191749384005,273.2312535655618,265.75568298473,147.46811,291.51884124009166,278.62014077806117
2026-05-11 15:00:00,468.39693,321.6039640625371,320.4348396015566,314.4550035655592,268.94648298473,218.46811,329.46376309889206,325.7033504794289
2026-05-11 16:00:00,488.50793,346.15103083497297,348.6664669032189,344.09606559265154,311.25568298472996,267.46811,350.98631787888405,355.4647444110773
2026-05-11 17:00:00,488.50793,362.3864743197714,363.25974662631637,359.0462999909693,325.83395298473,276.57911,367.3343905318745,367.6389401086136
2026-05-11 18:00:00,699.99193,489.32978176483937,485.4228287142636,489.2353709524826,521.8885929847299,358.46811,489.8989622375236,485.31159358600496
2026-05-11 19:00:00,699.99193,557.9552719610904,544.9578657510328,611.8941593738675,1134.5735929847299,358.46811,557.8431523024816,540.5177374452372
2026-05-11 20:00:00,488.50793,491.6496874753291,487.387849671235,490.83678128910276,512.8154829847299,358.46811,491.9822852548994,487.9696497814493
2026-05-11 21:00:00,488.50793,403.3451766973146,410.8015704218494,418.49702575073775,492.81548298472995,358.46811,404.59983604065104,418.0150303810215
2026-05-11 22:00:00,468.39693,351.38156869649936,364.8055669139752,356.30078125336036,301.88859298473,358.46811,349.04125609440865,372.00635406191356
2026-05-11 23:00:00,463.39693,338.96016477570083,352.90004306170033,342.4187687603215,265.75568298473,353.46811,334.56695330221345,359.16556618441473
2026-05-12 00:00:00,495.64994,307.00597717870994,315.23254785197156,310.3429850454364,248.53470298473,276.39693,306.11345589345734,315.7699287403495
2026-05-12 01:00:00,495.64994,480.002369742928,457.50142897655485,455.579539742524,433.91367751880773,278.39693,479.1649859889868,443.1416758080181
2026-05-12 02:00:00,495.64994,475.9186458309923,453.43604061653537,451.43576354150855,421.1173675188078,276.39693,474.848792336508,437.59565979264266
2026-05-12 03:00:00,469.53894,466.7753135363382,444.8502310478585,443.18902670648646,419.97125751880776,268.39693,465.6136582624737,429.8330928720052
2026-05-12 04:00:00,495.64994,470.3347019717128,449.26276752775675,448.866832933465,433.91367751880773,276.39693,469.3560155006097,434.6961842810191
