fecha_hora,real,pred_A,pred_B
2026-06-23 06:00:00,666.21518,588.5955051030668,449.41167820954695
2026-06-23 07:00:00,666.21518,582.2097445037924,455.03907842619344
2026-06-23 08:00:00,666.21518,590.7417560233104,456.0161873689232
2026-06-23 09:00:00,661.21518,579.9401016397392,444.6377158177121
2026-06-23 10:00:00,666.21518,580.2024860392073,440.98296632055315
2026-06-23 11:00:00,666.41518,610.5026176285852,494.3990563771926
2026-06-23 12:00:00,666.21518,612.203688236831,520.9863835874185
2026-06-23 13:00:00,667.21518,628.3630405121869,558.6582226602031
2026-06-23 14:00:00,667.21518,654.7067080616298,595.0959286429219
2026-06-23 15:00:00,667.21518,680.0891654837385,624.4131156141837
2026-06-23 16:00:00,668.71518,706.0509692586156,651.7311135243058
2026-06-23 17:00:00,668.71518,733.6039019324551,672.3242297746324
2026-06-23 18:00:00,672.21518,1026.5570211793915,945.4894057562484
2026-06-23 19:00:00,711.58518,1138.1325083858533,1089.9038235715664
2026-06-23 20:00:00,672.21518,1025.412887854437,980.5267001506668
2026-06-23 21:00:00,668.71518,757.4704803439403,721.3152484882161
2026-06-23 22:00:00,667.21518,694.789899017946,643.5258218008454
2026-06-23 23:00:00,667.21518,678.214022671591,588.5268584753568
2026-06-24 00:00:00,451.52262,637.8391183914831,643.1473260190295
2026-06-24 01:00:00,473.52262,451.58025928297434,638.3761866653518
2026-06-24 02:00:00,651.52262,451.74361072821415,633.9616086991024
2026-06-24 03:00:00,651.52262,451.67775659439195,631.438708837391
2026-06-24 04:00:00,666.52262,452.75606648884803,637.5625589335949
2026-06-24 05:00:00,666.52262,460.6623415690887,651.5244330220836
2026-06-24 06:00:00,666.52262,551.3581040854284,608.3693111182448
2026-06-24 07:00:00,651.52262,548.3429361949732,601.0202546505082
2026-06-24 08:00:00,666.52262,548.6772168498493,600.3978355798974
2026-06-24 09:00:00,666.52262,549.9495637870584,603.3980363894053
2026-06-24 10:00:00,666.52262,567.8582555980935,609.6246773993961
2026-06-24 11:00:00,666.72262,574.2647589456939,621.0543031400687
2026-06-24 12:00:00,666.72262,582.8844688749525,645.8937932033475
2026-06-24 13:00:00,666.72262,602.6768122574135,667.5693130574203
2026-06-24 14:00:00,671.52262,638.1501981530196,678.9800718959019
2026-06-24 15:00:00,701.52262,651.8499298826238,688.0767243960656
2026-06-24 16:00:00,701.52262,672.3827485170928,702.4078986515274
2026-06-24 17:00:00,701.52262,670.5712714443584,715.9376271836722
2026-06-24 18:00:00,713.97062,739.6051856260104,769.3752327051034
2026-06-24 19:00:00,1271.52262,772.9059107199803,759.7390393845527
2026-06-24 20:00:00,1271.52262,754.3474758754605,761.0230178343767
2026-06-24 21:00:00,713.97062,713.857345074615,740.930556909506
2026-06-24 22:00:00,701.52262,673.8116031487936,722.2859071966176
2026-06-24 23:00:00,701.52262,605.8412726617187,702.871222529951
2026-06-25 00:00:00,662.90216,480.0853981804728,550.5558522062836
2026-06-25 01:00:00,662.70216,662.5197686135218,551.8400852702675
2026-06-25 02:00:00,662.70216,662.2529263937066,651.8903422777872
2026-06-25 03:00:00,662.90216,662.0351386624998,643.6859019200766
2026-06-25 04:00:00,662.90216,662.3744310646088,656.6179620057418
2026-06-25 05:00:00,666.70216,667.0887919417581,676.4938811013213
2026-06-25 06:00:00,662.70216,627.2667394277012,669.8949074010256
2026-06-25 07:00:00,662.70216,627.1829403001543,665.3270831729583
2026-06-25 08:00:00,652.70216,624.9182485358083,673.1421825752449
