fecha_hora,real,q10,q50,q90
2026-01-07 06:00:00,252.71747,217.27057,268.17694,295.99292
2026-01-07 07:00:00,252.71747,234.2205,285.0153,310.06586
2026-01-07 08:00:00,252.71747,244.83458,289.5936,309.47452
2026-01-07 09:00:00,245.61747,260.2195,297.19836,313.26566
2026-01-07 10:00:00,249.61747,268.3127,301.44473,319.77524
2026-01-07 11:00:00,252.71747,279.84753,305.43924,320.68472
2026-01-07 12:00:00,252.71747,282.74387,304.5677,326.4928
2026-01-07 13:00:00,252.71747,281.91052,303.47263,322.9139
2026-01-07 14:00:00,261.20247,289.52505,303.21295,329.44885
2026-01-07 15:00:00,292.71747,290.7739,307.16632,329.02527
2026-01-07 16:00:00,292.71747,291.90323,310.0782,337.3597
2026-01-07 17:00:00,312.71747,290.7886,304.62064,335.58575
2026-01-07 18:00:00,328.20947,293.73413,308.89377,334.86078
2026-01-07 19:00:00,328.20947,291.3755,311.71313,344.1187
2026-01-07 20:00:00,328.20947,287.603,315.82504,352.76624
2026-01-07 21:00:00,321.71747,283.70096,312.817,343.93152
2026-01-07 22:00:00,312.71747,271.0406,303.62082,328.5278
2026-01-07 23:00:00,292.71747,251.37311,291.63242,314.50528
2026-01-08 00:00:00,108.19992,185.9585,258.49728,293.6202
2026-01-08 01:00:00,108.19992,137.6855,217.91624,276.4949
2026-01-08 02:00:00,108.19992,104.36749,187.16594,240.14165
2026-01-08 03:00:00,108.19992,82.22716,163.09808,221.66864
2026-01-08 04:00:00,118.19992,77.413635,161.14384,218.47818
2026-01-08 05:00:00,156.68492,89.46321,167.59415,219.01663
2026-01-08 06:00:00,118.19992,110.471985,174.94498,218.2568
2026-01-08 07:00:00,118.19992,127.132065,187.88371,226.79623
2026-01-08 08:00:00,118.19992,142.63132,202.91493,237.0816
2026-01-08 09:00:00,108.19992,157.73245,209.80524,239.53583
2026-01-08 10:00:00,118.19992,164.4139,212.43344,251.85219
2026-01-08 11:00:00,156.68492,175.16429,222.78033,258.9978
2026-01-08 12:00:00,228.19992,176.25343,227.99736,264.20325
2026-01-08 13:00:00,118.19992,185.16177,234.01482,268.66467
2026-01-08 14:00:00,238.19992,198.6785,243.16718,276.48938
2026-01-08 15:00:00,270.19992,212.23718,259.6475,283.65765
2026-01-08 16:00:00,270.19992,237.08093,276.25958,307.22403
2026-01-08 17:00:00,288.19992,238.4461,281.01837,321.9637
2026-01-08 18:00:00,288.19992,250.64427,291.96536,334.56943
2026-01-08 19:00:00,288.19992,252.69969,292.26086,331.95718
2026-01-08 20:00:00,288.19992,245.19485,291.53882,328.91144
2026-01-08 21:00:00,288.19992,239.86232,278.97678,302.9905
2026-01-08 22:00:00,270.19992,212.92139,263.93997,283.9023
2026-01-08 23:00:00,270.19992,196.30103,244.6456,282.9155
2026-01-09 00:00:00,148.95631,124.27008,205.89944,264.01138
2026-01-09 01:00:00,124.95631,97.91574,159.97588,242.44751
2026-01-09 02:00:00,124.95631,100.12938,153.50102,223.63716
2026-01-09 03:00:00,124.95631,112.4729,154.16158,220.05727
2026-01-09 04:00:00,148.95631,120.95157,172.27896,209.75937
2026-01-09 05:00:00,148.95631,130.27423,184.47421,223.0649
2026-01-09 06:00:00,209.95631,134.90254,177.25087,229.08972
2026-01-09 07:00:00,209.95631,134.50815,174.47618,232.289
2026-01-09 08:00:00,148.95631,137.90343,179.34186,234.91829
2026-01-09 09:00:00,124.95631,145.10477,189.47017,244.48615
2026-01-09 10:00:00,124.95631,160.9755,201.7783,261.95306
2026-01-09 11:00:00,148.95631,171.20207,224.49554,280.5013
2026-01-09 12:00:00,148.95631,177.7504,233.96338,288.44946
2026-01-09 13:00:00,209.95631,192.35754,250.3981,298.24045
2026-01-09 14:00:00,249.95631,198.50719,260.90964,297.33868
2026-01-09 15:00:00,249.95631,212.94376,261.45117,298.8051
2026-01-09 16:00:00,249.95631,225.68471,269.46317,310.77914
2026-01-09 17:00:00,249.95631,237.05957,280.6385,317.9432
2026-01-09 18:00:00,279.95631,233.12195,283.8192,338.76108
2026-01-09 19:00:00,279.95631,243.30412,289.8139,340.10556
2026-01-09 20:00:00,279.95631,236.75835,291.4621,334.96802
2026-01-09 21:00:00,249.95631,231.1868,286.55603,327.37552
2026-01-09 22:00:00,249.95631,203.99492,264.9668,307.22574
