fecha_hora,real,pred_xgb_afinado,pred_catboost_afinado
2026-04-22 09:00:00,223.07557,267.0036,268.87911086540487
2026-04-22 10:00:00,238.59557,271.51382,270.1182378805809
2026-04-22 11:00:00,223.07557,275.0273,271.3449703345749
2026-04-22 12:00:00,206.59557,279.25235,271.500123466349
2026-04-22 13:00:00,238.59557,284.6481,279.6160492022583
2026-04-22 14:00:00,328.69557,287.4219,294.6740161859568
2026-04-22 15:00:00,348.59557,352.04248,356.68795147967927
2026-04-22 16:00:00,348.59557,360.63834,355.75995311199176
2026-04-22 17:00:00,348.59557,365.0601,355.8747754679834
2026-04-22 18:00:00,598.59557,368.05634,361.708425069302
2026-04-22 19:00:00,305.73557,529.9096,528.1143382984523
2026-04-22 20:00:00,305.73557,367.18442,359.8079689368835
2026-04-22 21:00:00,328.69557,362.37726,351.8828981312676
2026-04-22 22:00:00,328.69557,295.87515,281.0961840427853
2026-04-22 23:00:00,277.59557,282.84335,279.2796356532056
2026-04-23 00:00:00,250.81233,236.51566,224.16781896066743
2026-04-23 01:00:00,250.81233,233.99725,222.61266406299603
2026-04-23 02:00:00,250.81233,233.01852,221.29589799710726
2026-04-23 03:00:00,250.81233,232.56541,221.14638867015884
2026-04-23 04:00:00,250.81233,231.10551,220.88874037792937
2026-04-23 05:00:00,250.81233,261.6164,254.7173688606403
2026-04-23 06:00:00,250.81233,267.9363,263.8635755510584
2026-04-23 07:00:00,250.81233,269.28268,263.85632367790424
2026-04-23 08:00:00,250.81233,269.08978,255.05731350320318
2026-04-23 09:00:00,237.81233,243.4816,229.51398242868746
2026-04-23 10:00:00,250.81233,267.2358,257.2835116143335
2026-04-23 11:00:00,250.81233,245.16177,230.8223923186003
2026-04-23 12:00:00,250.81233,242.54599,226.4219292625106
2026-04-23 13:00:00,250.81233,273.66965,258.5735473663097
2026-04-23 14:00:00,255.66933,350.1352,329.3927751572238
2026-04-23 15:00:00,296.22233,360.07263,345.42367069620394
2026-04-23 16:00:00,317.81233,358.0561,341.97373563348714
2026-04-23 17:00:00,317.81233,358.35107,342.08029786958747
2026-04-23 18:00:00,357.81233,516.6701,513.9389555152596
2026-04-23 19:00:00,357.81233,338.79932,318.61977746572904
2026-04-23 20:00:00,317.81233,327.88144,311.8915428079429
2026-04-23 21:00:00,316.81233,342.98694,329.8354088373446
2026-04-23 22:00:00,296.22233,340.9483,324.9911558714003
2026-04-23 23:00:00,250.81233,296.7659,282.2995567920853
2026-04-24 00:00:00,274.13793,260.81696,255.58082117987382
2026-04-24 01:00:00,274.13793,260.20023,255.47752456664193
2026-04-24 02:00:00,274.13793,260.66953,254.42003437555744
2026-04-24 03:00:00,274.13793,259.7916,254.33129604982312
2026-04-24 04:00:00,274.13793,262.33884,255.3576478648026
2026-04-24 05:00:00,274.13793,266.14468,257.1664554671766
2026-04-24 06:00:00,274.13793,266.14468,257.31422044653556
2026-04-24 07:00:00,251.34993,267.33,256.80263458184527
2026-04-24 08:00:00,251.34993,268.0149,256.92600078265
2026-04-24 09:00:00,251.34993,253.50334,247.09968769477712
2026-04-24 10:00:00,251.99493,273.73572,264.4427349687844
2026-04-24 11:00:00,274.13793,274.33627,264.67901718461565
2026-04-24 12:00:00,274.13793,275.5055,265.2745083598883
2026-04-24 13:00:00,279.13793,279.0246,266.63686884898107
2026-04-24 14:00:00,279.13793,281.51663,272.744971238097
2026-04-24 15:00:00,279.13793,304.26144,297.2429575096616
2026-04-24 16:00:00,294.13793,322.89096,311.7046684335786
2026-04-24 17:00:00,314.13793,323.04974,311.5776761570533
2026-04-24 18:00:00,354.13793,337.75247,329.9057407085078
