fecha_hora,real,NBEATSx_rec,NHITS_rec
2026-01-08 14:00:00,238.19992,254.8764,276.4927
2026-01-08 15:00:00,270.19992,265.6209,278.5787
2026-01-08 16:00:00,270.19992,271.79218,282.28027
2026-01-08 17:00:00,288.19992,282.83575,285.81915
2026-01-08 18:00:00,288.19992,294.17886,288.41098
2026-01-08 19:00:00,288.19992,301.3578,294.58875
2026-01-08 20:00:00,288.19992,303.80515,301.94736
2026-01-08 21:00:00,288.19992,294.37183,298.90793
2026-01-08 22:00:00,270.19992,283.5338,288.51318
2026-01-08 23:00:00,270.19992,265.75024,281.1974
2026-01-09 00:00:00,148.95631,208.54941,223.37819
2026-01-09 01:00:00,124.95631,166.79137,182.09422
2026-01-09 02:00:00,124.95631,159.07297,157.63863
2026-01-09 03:00:00,124.95631,174.00388,148.79428
2026-01-09 04:00:00,148.95631,181.96829,148.22813
2026-01-09 05:00:00,148.95631,180.04877,156.039
2026-01-09 06:00:00,209.95631,197.55902,164.57753
2026-01-09 07:00:00,209.95631,195.75581,172.84369
2026-01-09 08:00:00,148.95631,201.8017,178.22763
2026-01-09 09:00:00,124.95631,207.44174,184.34071
2026-01-09 10:00:00,124.95631,221.03613,190.88396
2026-01-09 11:00:00,148.95631,227.63734,199.94032
2026-01-09 12:00:00,148.95631,232.0486,209.40437
2026-01-09 13:00:00,209.95631,236.88632,219.48264
2026-01-09 14:00:00,249.95631,240.02519,226.36519
2026-01-09 15:00:00,249.95631,251.3961,234.8351
2026-01-09 16:00:00,249.95631,256.26035,243.0447
2026-01-09 17:00:00,249.95631,264.241,245.98482
2026-01-09 18:00:00,279.95631,270.1211,252.09879
2026-01-09 19:00:00,279.95631,289.67966,263.40375
2026-01-09 20:00:00,279.95631,298.48453,269.1848
2026-01-09 21:00:00,249.95631,284.85837,259.8869
2026-01-09 22:00:00,249.95631,260.46967,242.89003
2026-01-09 23:00:00,228.85631,241.67458,229.98674
2026-01-10 00:00:00,176.78564,201.73209,215.56448
2026-01-10 01:00:00,176.78564,179.80006,200.9837
2026-01-10 02:00:00,165.78564,176.70087,182.01141
2026-01-10 03:00:00,165.78564,182.30066,174.9072
2026-01-10 04:00:00,165.78564,184.63513,176.20308
2026-01-10 05:00:00,176.78564,175.30486,180.5673
2026-01-10 06:00:00,176.78564,172.17209,184.133
2026-01-10 07:00:00,176.78564,168.57922,187.17178
2026-01-10 08:00:00,151.78564,166.37009,190.33612
2026-01-10 09:00:00,113.86764,171.88074,191.30238
2026-01-10 10:00:00,113.86764,176.33472,194.22253
2026-01-10 11:00:00,151.78564,186.89638,199.54391
2026-01-10 12:00:00,151.78564,192.45845,205.28542
2026-01-10 13:00:00,151.78564,194.84056,209.94627
2026-01-10 14:00:00,176.78564,196.85466,212.99109
2026-01-10 15:00:00,176.78564,201.99315,218.04253
2026-01-10 16:00:00,214.78564,217.1649,225.58115
2026-01-10 17:00:00,276.78564,227.68568,234.59299
2026-01-10 18:00:00,276.78564,237.00574,244.68109
2026-01-10 19:00:00,276.78564,258.08353,254.75874
2026-01-10 20:00:00,276.78564,265.3402,261.59195
2026-01-10 21:00:00,276.78564,255.89047,253.30975
2026-01-10 22:00:00,276.78564,231.29152,233.87572
2026-01-10 23:00:00,214.78564,210.38724,220.84111
