ds,y,NHITS,ventana,semilla
2026-01-17 18:00:00,126.15036,119.2482,1a,42
2026-01-17 19:00:00,126.15036,123.979675,1a,42
2026-01-17 20:00:00,126.15036,127.835175,1a,42
2026-01-17 21:00:00,126.15036,130.07442,1a,42
2026-01-17 22:00:00,126.15036,129.5595,1a,42
2026-01-17 23:00:00,108.15036,127.67155,1a,42
2026-01-18 00:00:00,105.32193,108.74812,1a,42
2026-01-18 01:00:00,105.32193,107.66842,1a,42
2026-01-18 02:00:00,105.32193,107.07659,1a,42
2026-01-18 03:00:00,103.31193,106.23687,1a,42
2026-01-18 04:00:00,101.85793,105.85347,1a,42
2026-01-18 05:00:00,103.31193,105.37259,1a,42
2026-01-18 06:00:00,97.72193,102.59129,1a,42
2026-01-18 07:00:00,97.72193,100.47041,1a,42
2026-01-18 08:00:00,97.72193,99.18799,1a,42
2026-01-18 09:00:00,97.72193,97.90399,1a,42
2026-01-18 10:00:00,97.72193,96.84909,1a,42
2026-01-18 11:00:00,97.72193,97.58882,1a,42
2026-01-18 12:00:00,97.72193,97.55651,1a,42
2026-01-18 13:00:00,97.72193,99.06418,1a,42
2026-01-18 14:00:00,97.72193,101.10664,1a,42
2026-01-18 15:00:00,97.72193,103.717384,1a,42
2026-01-18 16:00:00,105.32193,106.1303,1a,42
2026-01-18 17:00:00,113.32193,108.63446,1a,42
2026-01-18 18:00:00,166.32193,113.73466,1a,42
2026-01-18 19:00:00,171.32193,116.11889,1a,42
2026-01-18 20:00:00,171.32193,118.49679,1a,42
2026-01-18 21:00:00,166.32193,118.80749,1a,42
2026-01-18 22:00:00,166.32193,118.20268,1a,42
2026-01-18 23:00:00,113.32193,116.55192,1a,42
2026-01-19 00:00:00,111.91666,117.05773,1a,42
2026-01-19 01:00:00,107.91666,116.52019,1a,42
2026-01-19 02:00:00,105.90666,118.549355,1a,42
2026-01-19 03:00:00,107.91666,121.866615,1a,42
2026-01-19 04:00:00,107.91666,121.30173,1a,42
2026-01-19 05:00:00,111.91666,122.78639,1a,42
2026-01-19 06:00:00,149.91666,123.502884,1a,42
2026-01-19 07:00:00,149.91666,123.17298,1a,42
2026-01-19 08:00:00,149.91666,123.15723,1a,42
2026-01-19 09:00:00,111.91666,125.07862,1a,42
2026-01-19 10:00:00,149.91666,125.443756,1a,42
2026-01-19 11:00:00,149.91666,124.32588,1a,42
2026-01-19 12:00:00,149.91666,122.860176,1a,42
2026-01-19 13:00:00,149.91666,122.01174,1a,42
2026-01-19 14:00:00,149.91666,122.5433,1a,42
2026-01-19 15:00:00,158.91666,123.551636,1a,42
2026-01-19 16:00:00,173.91666,125.89849,1a,42
2026-01-19 17:00:00,178.91666,128.28145,1a,42
2026-01-19 18:00:00,178.91666,132.31007,1a,42
2026-01-19 19:00:00,178.91666,136.2551,1a,42
2026-01-19 20:00:00,178.91666,138.63898,1a,42
2026-01-19 21:00:00,178.91666,138.45186,1a,42
2026-01-19 22:00:00,178.91666,133.56277,1a,42
2026-01-19 23:00:00,173.91666,126.74289,1a,42
2026-01-20 00:00:00,174.33117,156.31665,1a,42
2026-01-20 01:00:00,174.33117,149.33134,1a,42
2026-01-20 02:00:00,174.33117,142.92012,1a,42
2026-01-20 03:00:00,174.33117,145.35013,1a,42
2026-01-20 04:00:00,174.33117,148.2821,1a,42
2026-01-20 05:00:00,176.23117,152.2107,1a,42
2026-01-20 06:00:00,176.33117,160.54077,1a,42
2026-01-20 07:00:00,176.23117,166.26851,1a,42
2026-01-20 08:00:00,174.33117,167.43968,1a,42
2026-01-20 09:00:00,174.33117,164.70338,1a,42
2026-01-20 10:00:00,174.33117,166.6667,1a,42
2026-01-20 11:00:00,174.33117,169.16824,1a,42
2026-01-20 12:00:00,174.33117,174.16461,1a,42
