fecha_hora,real,v4 (referencia),v1 (NNLS global),Persistencia,nivel v4 + forma persistencia,nivel v4 + forma v1,nivel v4 + forma ajustada (pesos suman 1),nivel v4 + forma ajustada (escala libre)
2026-04-12 07:00:00,200.46721,273.5181928690396,283.32830144838226,279.47077,283.5017011091432,277.4056807274394,275.6760858808882,275.418788455176
2026-04-12 08:00:00,200.46721,272.6035298383555,282.93346918083324,279.47077,283.5017011091432,277.0108484598904,274.9898684164227,274.77486983045344
2026-04-12 09:00:00,200.46721,272.6417234268616,282.2285635501952,279.47077,283.5017011091432,276.30594282925233,274.87078381102236,274.6004829381905
2026-04-12 10:00:00,200.46721,276.8113053251555,284.6034254498678,279.47077,283.5017011091432,278.68080472892495,277.9860898977746,277.61933848932676
2026-04-12 11:00:00,242.43621,285.41527907676016,289.7499775095634,279.47077,283.5017011091432,283.82735678862053,284.48706987656846,283.93551555207415
2026-04-12 12:00:00,277.96721,279.0520940094474,289.54580234068646,279.47077,283.5017011091432,283.6231816197436,279.93727707049135,279.5912323246371
2026-04-12 13:00:00,277.96721,277.8542006749831,289.95146227505074,266.47077,270.5017011091432,284.0288415541079,276.9067408132241,276.47019113261433
2026-04-12 14:00:00,277.96721,278.6631293343503,292.2024490523572,266.47077,270.5017011091432,286.27982833141436,277.67814050721176,277.2389658777566
2026-04-12 15:00:00,278.96721,284.12642597488525,297.77393250749054,279.47077,283.5017011091432,291.8513117865477,284.3989456679408,284.1127167318241
2026-04-12 16:00:00,281.96721,289.355767898577,303.42111006587385,279.47077,283.5017011091432,297.498489344931,288.8094989847069,288.6038409874668
2026-04-12 17:00:00,308.96721,300.2306561088501,313.347207719826,290.47077,294.5017011091432,307.4245869988831,299.3246946093013,299.152694596434
2026-04-12 18:00:00,353.46721,346.00208398752966,342.88862315663727,354.97077,359.0017011091432,336.9660024356944,346.245339746479,346.4913183220105
2026-04-12 19:00:00,353.76721,349.1877169411757,350.5730062473194,355.27077,359.3017011091432,344.65038552637657,348.93812874210306,349.0104390807126
2026-04-12 20:00:00,353.76721,344.8907383497205,341.61084366129,354.97077,359.0017011091432,335.68822294034715,345.3157018883238,345.4315101340689
2026-04-12 21:00:00,353.76721,312.3362678647578,325.52755060090067,290.47077,294.5017011091432,319.6049298799578,310.5058052926822,310.9966210439135
