fecha_hora,real,prediccion,prob_alto,clasificado_alto
2026-01-08 17:00:00,288.19992,310.48712,0.048274443,0
2026-01-08 18:00:00,288.19992,322.73334,0.06604703,0
2026-01-08 19:00:00,288.19992,322.74902,0.06521838,0
2026-01-08 20:00:00,288.19992,320.60574,0.059479352,0
2026-01-08 21:00:00,288.19992,313.9205,0.044004366,0
2026-01-08 22:00:00,270.19992,310.95724,0.02148413,0
2026-01-08 23:00:00,270.19992,280.16278,0.009514295,0
2026-01-09 00:00:00,148.95631,154.09592,0.003439756,0
2026-01-09 01:00:00,124.95631,153.6748,0.0030904764,0
2026-01-09 02:00:00,124.95631,153.30388,0.003103899,0
2026-01-09 03:00:00,124.95631,153.29071,0.0027781215,0
2026-01-09 04:00:00,148.95631,163.29878,0.0031032457,0
2026-01-09 05:00:00,148.95631,175.58835,0.00335672,0
2026-01-09 06:00:00,209.95631,164.5156,0.0034752071,0
2026-01-09 07:00:00,209.95631,165.5052,0.004030014,0
2026-01-09 08:00:00,148.95631,166.31786,0.00501226,0
2026-01-09 09:00:00,124.95631,154.40572,0.0071853944,0
2026-01-09 10:00:00,124.95631,164.30032,0.009699711,0
2026-01-09 11:00:00,148.95631,177.97804,0.014234151,0
2026-01-09 12:00:00,148.95631,223.90768,0.017090002,0
2026-01-09 13:00:00,209.95631,166.3698,0.015113783,0
2026-01-09 14:00:00,249.95631,239.26859,0.023008112,0
2026-01-09 15:00:00,249.95631,255.00352,0.02543989,0
2026-01-09 16:00:00,249.95631,255.00352,0.0244182,0
2026-01-09 17:00:00,249.95631,269.0033,0.022675106,0
2026-01-09 18:00:00,279.95631,269.0033,0.045088317,0
2026-01-09 19:00:00,279.95631,268.33408,0.04860466,0
2026-01-09 20:00:00,279.95631,267.62473,0.03825634,0
2026-01-09 21:00:00,249.95631,267.0134,0.025358174,0
2026-01-09 22:00:00,249.95631,252.74873,0.018295644,0
2026-01-09 23:00:00,228.85631,248.38344,0.009392409,0
2026-01-10 00:00:00,176.78564,165.64131,0.0034502002,0
2026-01-10 01:00:00,176.78564,160.56604,0.0031305547,0
2026-01-10 02:00:00,165.78564,160.26842,0.0027862287,0
2026-01-10 03:00:00,165.78564,159.99222,0.00295461,0
2026-01-10 04:00:00,165.78564,165.52391,0.0035108626,0
2026-01-10 05:00:00,176.78564,165.51262,0.0037324682,0
2026-01-10 06:00:00,176.78564,201.76375,0.0042013,0
2026-01-10 07:00:00,176.78564,202.41507,0.004264971,0
2026-01-10 08:00:00,151.78564,167.26755,0.0043771076,0
2026-01-10 09:00:00,113.86764,162.63182,0.0047689267,0
2026-01-10 10:00:00,113.86764,162.74213,0.0058406973,0
2026-01-10 11:00:00,151.78564,167.71191,0.007815826,0
2026-01-10 12:00:00,151.78564,167.62524,0.008459435,0
2026-01-10 13:00:00,151.78564,207.83615,0.010040247,0
2026-01-10 14:00:00,176.78564,245.20972,0.011887422,0
2026-01-10 15:00:00,176.78564,245.22351,0.011855808,0
2026-01-10 16:00:00,214.78564,245.22351,0.015279866,0
2026-01-10 17:00:00,276.78564,244.91687,0.014158303,0
2026-01-10 18:00:00,276.78564,259.1154,0.030086566,0
2026-01-10 19:00:00,276.78564,259.09906,0.032794196,0
2026-01-10 20:00:00,276.78564,259.09906,0.021939427,0
2026-01-10 21:00:00,276.78564,244.75401,0.015839696,0
2026-01-10 22:00:00,276.78564,244.54262,0.013286685,0
2026-01-10 23:00:00,214.78564,219.59357,0.0068909754,0
