fecha_hora,real,GBM cuadratica,GBM absoluta (MAE),GBM MCC,LEAR (LASSO),LEAR MCC
2026-04-25 01:00:00,246.00735,252.31405094841216,256.50796925477454,247.8241840365814,253.39517383358108,244.37010391999488
2026-04-25 02:00:00,246.00735,247.7573829483171,245.257771009229,247.36469317054534,260.06145629243485,242.78971778917617
2026-04-25 03:00:00,246.00735,250.25991720353773,253.9989013203464,245.28038853948254,260.8295955681842,241.45883247058055
2026-04-25 04:00:00,246.00735,252.43191856725943,250.64802058177779,244.87501266150534,262.90760678178657,243.04237330930232
2026-04-25 05:00:00,246.00735,249.5239755722523,240.63180412153832,247.42059171981424,265.96280028369097,250.60690603656232
2026-04-25 06:00:00,246.00735,247.92409463968602,255.89328528156366,250.29371180741745,259.5398927487583,248.6329011758361
2026-04-25 07:00:00,246.00735,243.1377149683055,269.8947387130124,245.40281143730354,248.73996454927433,251.286132424968
2026-04-25 08:00:00,246.00735,263.5440410278191,242.5851462011563,254.18806378008549,238.5625556593486,254.05831014550336
2026-04-25 09:00:00,246.00735,264.2630339313795,248.8297369398233,249.04807275337396,240.87400717851028,254.48489844247393
2026-04-25 10:00:00,246.00735,258.76188681339784,247.02765353722796,253.2466713797084,232.4511496942679,262.76640449470796
2026-04-25 11:00:00,246.00735,264.97920301032127,257.3550460063166,256.342726295973,240.41323975855065,268.48969367495096
2026-04-25 12:00:00,246.00735,263.6351598755435,256.3375489031111,265.1028170259017,240.7546305752938,269.0036473898258
2026-04-25 13:00:00,246.00735,273.20786214457604,252.47773872731963,258.92875967668476,243.09761513210157,268.6462557132918
2026-04-25 14:00:00,246.00735,276.88067904404056,250.10666120755658,270.78377052401135,258.41472508204055,276.15325497663093
2026-04-25 15:00:00,246.00735,297.17440089813493,248.34853953281913,269.44689269481484,272.3951698999474,285.5987415486431
2026-04-25 16:00:00,266.21935,301.7057857393771,277.6802019103512,285.8928595978101,286.7929158311317,293.0333898388524
2026-04-25 17:00:00,306.00735,303.53456738752357,270.8330796036925,288.0869597421597,285.18138245617286,293.0436708962461
2026-04-25 18:00:00,316.00735,343.3632468439649,323.2033706932074,327.29260989815816,377.36594463323365,333.7577933799274
2026-04-25 19:00:00,336.00735,383.02011911593996,363.49750293121787,345.399301049351,445.54574695519756,414.3074560082205
2026-04-25 20:00:00,316.00735,314.32557152637696,303.61576578128887,295.5665488285987,347.65799477532147,323.3242570170556
2026-04-25 21:00:00,306.00735,308.3593979920562,282.708682887776,305.1217962769788,302.8779279891055,303.8991675350235
2026-04-25 22:00:00,286.00735,294.206404331894,271.05308818655,285.55204783028574,290.9643626817773,284.7892637006431
2026-04-25 23:00:00,266.21935,278.81941286249537,258.32237789772614,278.1162573105862,277.11228717061596,264.2226782215516
