ds,y,NBEATSx,ventana,semilla
2026-01-14 13:00:00,109.65888,215.4829,1a,42
2026-01-14 14:00:00,138.16688,233.83406,1a,42
2026-01-14 15:00:00,138.16688,235.68784,1a,42
2026-01-14 16:00:00,142.16688,255.9037,1a,42
2026-01-14 17:00:00,213.16688,250.22209,1a,42
2026-01-14 18:00:00,213.16688,253.42747,1a,42
2026-01-14 19:00:00,217.16688,303.95184,1a,42
2026-01-14 20:00:00,213.16688,311.60712,1a,42
2026-01-14 21:00:00,213.16688,250.39594,1a,42
2026-01-14 22:00:00,142.16688,231.82329,1a,42
2026-01-14 23:00:00,138.16688,151.73953,1a,42
2026-01-15 00:00:00,111.95694,106.52574,1a,42
2026-01-15 01:00:00,111.95694,76.87706,1a,42
2026-01-15 02:00:00,111.95694,62.961243,1a,42
2026-01-15 03:00:00,111.95694,62.449417,1a,42
2026-01-15 04:00:00,111.95694,57.396942,1a,42
2026-01-15 05:00:00,111.95694,79.459145,1a,42
2026-01-15 06:00:00,117.54694,101.86621,1a,42
2026-01-15 07:00:00,117.54694,107.85119,1a,42
2026-01-15 08:00:00,117.54694,95.88598,1a,42
2026-01-15 09:00:00,111.95694,76.505486,1a,42
2026-01-15 10:00:00,117.54694,98.118904,1a,42
2026-01-15 11:00:00,117.54694,108.715225,1a,42
2026-01-15 12:00:00,117.54694,113.51481,1a,42
2026-01-15 13:00:00,119.09994,119.07389,1a,42
2026-01-15 14:00:00,190.55694,135.15584,1a,42
2026-01-15 15:00:00,190.55694,177.48811,1a,42
2026-01-15 16:00:00,190.55694,177.80444,1a,42
2026-01-15 17:00:00,190.55694,188.51573,1a,42
2026-01-15 18:00:00,190.55694,203.10179,1a,42
2026-01-15 19:00:00,191.55694,233.05423,1a,42
2026-01-15 20:00:00,190.55694,265.67047,1a,42
2026-01-15 21:00:00,190.55694,285.4972,1a,42
2026-01-15 22:00:00,190.55694,215.87144,1a,42
2026-01-15 23:00:00,117.54694,162.4142,1a,42
2026-01-16 00:00:00,109.64545,110.28409,1a,42
2026-01-16 01:00:00,109.64545,104.718704,1a,42
2026-01-16 02:00:00,109.64545,109.58588,1a,42
2026-01-16 03:00:00,109.64545,108.482254,1a,42
2026-01-16 04:00:00,109.64545,109.45532,1a,42
2026-01-16 05:00:00,109.64545,105.689354,1a,42
2026-01-16 06:00:00,109.64545,108.34051,1a,42
2026-01-16 07:00:00,109.64545,107.55499,1a,42
2026-01-16 08:00:00,109.64545,111.86471,1a,42
2026-01-16 09:00:00,109.64545,107.73247,1a,42
2026-01-16 10:00:00,109.64545,106.02975,1a,42
2026-01-16 11:00:00,109.64545,108.16103,1a,42
2026-01-16 12:00:00,109.64545,107.1492,1a,42
2026-01-16 13:00:00,109.64545,110.30704,1a,42
2026-01-16 14:00:00,109.64545,117.87907,1a,42
2026-01-16 15:00:00,109.64545,126.68793,1a,42
2026-01-16 16:00:00,113.78145,125.83055,1a,42
2026-01-16 17:00:00,117.24545,129.98218,1a,42
2026-01-16 18:00:00,168.24545,130.48347,1a,42
2026-01-16 19:00:00,168.24545,143.73161,1a,42
2026-01-16 20:00:00,168.24545,148.34668,1a,42
2026-01-16 21:00:00,117.24545,136.79822,1a,42
2026-01-16 22:00:00,109.64545,128.94943,1a,42
2026-01-16 23:00:00,109.64545,118.29565,1a,42
2026-01-17 00:00:00,100.55036,112.5869,1a,42
2026-01-17 01:00:00,100.55036,113.632614,1a,42
2026-01-17 02:00:00,100.55036,115.433754,1a,42
2026-01-17 03:00:00,100.55036,113.433914,1a,42
2026-01-17 04:00:00,100.55036,112.06163,1a,42
2026-01-17 05:00:00,100.55036,112.520676,1a,42
2026-01-17 06:00:00,104.68636,107.66554,1a,42
2026-01-17 07:00:00,100.55036,113.37318,1a,42
