origen,fecha_hora,real,modelo,prediccion
Origen 1,2020-07-07 14:00:00,210.90751,Persistencia,211.12526
Origen 1,2020-07-07 15:00:00,210.90751,Persistencia,211.12526
Origen 1,2020-07-07 16:00:00,170.90751,Persistencia,211.12526
Origen 1,2020-07-07 17:00:00,129.90751,Persistencia,158.12526
Origen 1,2020-07-07 18:00:00,170.90751,Persistencia,158.12526
Origen 1,2020-07-07 19:00:00,210.90751,Persistencia,158.12526
Origen 1,2020-07-07 20:00:00,170.90751,Persistencia,158.12526
Origen 1,2020-07-07 21:00:00,141.88751,Persistencia,158.12526
Origen 1,2020-07-07 22:00:00,129.90751,Persistencia,158.12526
Origen 1,2020-07-07 23:00:00,90.21251,Persistencia,211.12526
Origen 1,2020-07-08 00:00:00,91.73684,Persistencia,86.14251
Origen 1,2020-07-08 01:00:00,91.73684,Persistencia,86.14251
Origen 1,2020-07-08 02:00:00,91.73684,Persistencia,86.14251
Origen 1,2020-07-08 03:00:00,95.73684,Persistencia,86.14251
Origen 1,2020-07-08 04:00:00,95.73684,Persistencia,86.14251
Origen 1,2020-07-08 05:00:00,95.73684,Persistencia,86.14251
Origen 1,2020-07-08 06:00:00,95.73684,Persistencia,86.14251
Origen 1,2020-07-08 07:00:00,95.73684,Persistencia,129.90751
Origen 1,2020-07-08 08:00:00,181.73684,Persistencia,170.90751
Origen 1,2020-07-08 09:00:00,181.73684,Persistencia,210.90751
Origen 1,2020-07-08 10:00:00,181.73684,Persistencia,210.90751
Origen 1,2020-07-08 11:00:00,181.73684,Persistencia,210.90751
Origen 1,2020-07-08 12:00:00,191.73684,Persistencia,210.90751
Origen 1,2020-07-08 13:00:00,191.73684,Persistencia,210.90751
Origen 1,2020-07-08 14:00:00,191.73684,Persistencia,210.90751
Origen 1,2020-07-08 15:00:00,191.73684,Persistencia,210.90751
Origen 1,2020-07-08 16:00:00,181.73684,Persistencia,170.90751
Origen 1,2020-07-08 17:00:00,191.73684,Persistencia,129.90751
Origen 1,2020-07-08 18:00:00,181.73684,Persistencia,170.90751
Origen 1,2020-07-08 19:00:00,191.73684,Persistencia,210.90751
Origen 1,2020-07-08 20:00:00,181.73684,Persistencia,170.90751
Origen 1,2020-07-08 21:00:00,181.73684,Persistencia,141.88751
Origen 1,2020-07-08 22:00:00,142.71684,Persistencia,129.90751
Origen 1,2020-07-08 23:00:00,95.73684,Persistencia,90.21251
Origen 1,2020-07-09 00:00:00,93.03862,Persistencia,91.73684
Origen 1,2020-07-09 01:00:00,93.03862,Persistencia,91.73684
Origen 1,2020-07-09 02:00:00,93.03862,Persistencia,91.73684
Origen 1,2020-07-09 03:00:00,93.03862,Persistencia,95.73684
Origen 1,2020-07-09 04:00:00,93.03862,Persistencia,95.73684
Origen 1,2020-07-09 05:00:00,93.03862,Persistencia,95.73684
Origen 1,2020-07-09 06:00:00,102.53862,Persistencia,95.73684
Origen 1,2020-07-09 07:00:00,102.53862,Persistencia,95.73684
Origen 1,2020-07-09 08:00:00,102.53862,Persistencia,181.73684
Origen 1,2020-07-09 09:00:00,102.53862,Persistencia,181.73684
Origen 1,2020-07-09 10:00:00,102.53862,Persistencia,181.73684
Origen 1,2020-07-09 11:00:00,120.53862,Persistencia,181.73684
Origen 1,2020-07-09 12:00:00,162.53862,Persistencia,191.73684
Origen 1,2020-07-09 13:00:00,272.53862,Persistencia,191.73684
Origen 1,2020-07-09 14:00:00,272.53862,Persistencia,191.73684
Origen 1,2020-07-09 15:00:00,162.53862,Persistencia,191.73684
Origen 1,2020-07-09 16:00:00,120.53862,Persistencia,181.73684
Origen 1,2020-07-09 17:00:00,162.53862,Persistencia,191.73684
Origen 1,2020-07-09 18:00:00,182.53862,Persistencia,181.73684
Origen 1,2020-07-09 19:00:00,182.53862,Persistencia,191.73684
Origen 1,2020-07-09 20:00:00,182.53862,Persistencia,181.73684
Origen 1,2020-07-09 21:00:00,182.53862,Persistencia,181.73684
Origen 1,2020-07-09 22:00:00,182.53862,Persistencia,142.71684
Origen 1,2020-07-09 23:00:00,120.53862,Persistencia,95.73684
Origen 1,2020-07-10 00:00:00,99.24967,Persistencia,93.03862
Origen 1,2020-07-10 01:00:00,116.34967,Persistencia,93.03862
Origen 1,2020-07-10 02:00:00,99.24967,Persistencia,93.03862
Origen 1,2020-07-10 03:00:00,116.34967,Persistencia,93.03862
Origen 1,2020-07-10 04:00:00,116.34967,Persistencia,93.03862
Origen 1,2020-07-10 05:00:00,99.24967,Persistencia,93.03862
Origen 1,2020-07-10 06:00:00,111.34967,Persistencia,102.53862
Origen 1,2020-07-10 07:00:00,116.34967,Persistencia,102.53862
Origen 1,2020-07-10 08:00:00,181.34967,Persistencia,102.53862
Origen 1,2020-07-10 09:00:00,181.34967,Persistencia,102.53862
Origen 1,2020-07-10 10:00:00,181.34967,Persistencia,102.53862
Origen 1,2020-07-10 11:00:00,191.24967,Persistencia,120.53862
Origen 1,2020-07-10 12:00:00,191.24967,Persistencia,162.53862
Origen 1,2020-07-10 13:00:00,181.34967,Persistencia,272.53862
Origen 1,2020-07-10 14:00:00,191.24967,Persistencia,272.53862
Origen 1,2020-07-10 15:00:00,191.24967,Persistencia,162.53862
Origen 1,2020-07-10 16:00:00,181.34967,Persistencia,120.53862
Origen 1,2020-07-10 17:00:00,121.34967,Persistencia,162.53862
Origen 1,2020-07-10 18:00:00,181.34967,Persistencia,182.53862
Origen 1,2020-07-10 19:00:00,181.34967,Persistencia,182.53862
Origen 1,2020-07-10 20:00:00,181.34967,Persistencia,182.53862
Origen 1,2020-07-10 21:00:00,181.34967,Persistencia,182.53862
Origen 1,2020-07-10 22:00:00,121.34967,Persistencia,182.53862
Origen 1,2020-07-10 23:00:00,116.34967,Persistencia,120.53862
Origen 1,2020-07-11 00:00:00,100.7728,Persistencia,99.24967
