fecha,valor
2020-03-28,5957191400.0
2020-03-29,5903641500.0
2020-03-30,5871789700.0
2020-03-31,5858469200.0
2020-04-01,5901694400.0
2020-04-02,5882725500.0
2020-04-03,5862409900.0
2020-04-04,5846609200.0
2020-04-05,5827244600.0
2020-04-06,5781532700.0
2020-04-07,5800484600.0
2020-04-08,5775718400.0
2020-04-09,5776487000.0
2020-04-10,5761100000.0
2020-04-11,5833236900.0
2020-04-12,5835522400.0
2020-04-13,5803075800.0
2020-04-14,5765858200.0
2020-04-15,5740209400.0
2020-04-16,5692473200.0
2020-04-17,5644884600.0
2020-04-18,5648154400.0
2020-04-19,5643263700.0
2020-04-20,5617994400.0
2020-04-21,5621111500.0
2020-04-22,5599969400.0
2020-04-23,5627548700.0
2020-04-24,5598609500.0
2020-04-25,5548452000.0
2020-04-26,5514097300.0
2020-04-27,5458484400.0
2020-04-28,5462591000.0
2020-04-29,5433584600.0
2020-04-30,5405007800.0
2020-05-01,5454305600.0
2020-05-02,5454515300.0
2020-05-03,5493990900.0
2020-05-04,5504030100.0
2020-05-05,5510860100.0
2020-05-06,5490894400.0
2020-05-07,5556833800.0
2020-05-08,5568398000.0
2020-05-09,5566133100.0
2020-05-10,5567453600.0
2020-05-11,5548550100.0
2020-05-12,5512907000.0
2020-05-13,5527235700.0
2020-05-14,5489554700.0
2020-05-15,5466205800.0
2020-05-16,5487646200.0
2020-05-17,5523048900.0
2020-05-18,5562847600.0
2020-05-19,5664768700.0
2020-05-20,5677414200.0
2020-05-21,5643875600.0
2020-05-22,5620884600.0
2020-05-23,5595805800.0
2020-05-24,5577916500.0
2020-05-25,5578312700.0
2020-05-26,5586101500.0
2020-05-27,5650365600.0
2020-05-28,5720269500.0
2020-05-29,5745101900.0
2020-05-30,5869690900.0
2020-05-31,5974134100.0
2020-06-01,6070320500.0
2020-06-02,6117803600.0
2020-06-03,6146467100.0
2020-06-04,6194860500.0
2020-06-05,6192223200.0
2020-06-06,6298968600.0
2020-06-07,6346004400.0
2020-06-08,6337306300.0
2020-06-09,6323402300.0
2020-06-10,6391206000.0
2020-06-11,6485835200.0
2020-06-12,6645308100.0
2020-06-13,6699048100.0
2020-06-14,6780087000.0
2020-06-15,6888733500.0
2020-06-16,6913201700.0
2020-06-17,6991028500.0
2020-06-18,7030196700.0
2020-06-19,7072781700.0
2020-06-20,7234367600.0
2020-06-21,7416043300.0
2020-06-22,7551785600.0
2020-06-23,7643220900.0
2020-06-24,7678812300.0
2020-06-25,7699717200.0
2020-06-26,7763530400.0
2020-06-27,7832288700.0
2020-06-28,7985399500.0
2020-06-29,8028928000.0
2020-06-30,8053120600.0
2020-07-01,8104476300.0
2020-07-02,8293075100.0
2020-07-03,8389608800.0
2020-07-04,8637366600.0
2020-07-05,8842627200.0
2020-07-06,8935099300.0
2020-07-07,9016761100.0
2020-07-08,9103798300.0
2020-07-09,9214621700.0
2020-07-10,9264022300.0
