fecha,valor
2019-06-20,318587900.0
2019-06-21,367168400.0
2019-06-22,342664300.0
2019-06-23,316022900.0
2019-06-24,300708700.0
2019-06-25,245270300.0
2019-06-26,196138900.0
2019-06-27,160084300.0
2019-06-28,160804200.0
2019-06-29,200406500.0
2019-06-30,219137100.0
2019-07-01,255283100.0
2019-07-02,238181100.0
2019-07-03,232981700.0
2019-07-04,172502000.0
2019-07-05,198126700.0
2019-07-06,192267600.0
2019-07-07,146858900.0
2019-07-08,161731400.0
2019-07-09,152042100.0
2019-07-10,140789200.0
2019-07-11,155620000.0
2019-07-12,136799400.0
2019-07-13,217924200.0
2019-07-14,294211800.0
2019-07-15,294956900.0
2019-07-16,185197100.0
2019-07-17,151981400.0
2019-07-18,141125300.0
2019-07-19,244327800.0
2019-07-20,265828300.0
2019-07-21,276396900.0
2019-07-22,279440300.0
2019-07-23,368347300.0
2019-07-24,240510900.0
2019-07-25,195991100.0
2019-07-26,221173800.0
2019-07-27,208175900.0
2019-07-28,266803400.0
2019-07-29,184757500.0
2019-07-30,160524600.0
2019-07-31,144930200.0
2019-08-01,134614700.0
2019-08-02,150309300.0
2019-08-03,211800800.0
2019-08-04,179116500.0
2019-08-05,179459400.0
2019-08-06,140936200.0
2019-08-07,119959700.0
2019-08-08,166475200.0
2019-08-09,137772600.0
2019-08-10,127310600.0
2019-08-11,171071200.0
2019-08-12,159735300.0
2019-08-13,255500200.0
2019-08-14,295795600.0
2019-08-15,212284900.0
2019-08-16,161796800.0
2019-08-17,164197700.0
2019-08-18,138895000.0
2019-08-19,199507400.0
2019-08-20,148259200.0
2019-08-21,137154000.0
2019-08-22,112492600.0
2019-08-23,112145400.0
2019-08-24,109857400.0
2019-08-25,98939500.0
2019-08-26,89465600.0
2019-08-27,91196300.0
2019-08-28,137548900.0
2019-08-29,112013100.0
2019-08-30,89144300.0
2019-08-31,88923400.0
2019-09-01,104324600.0
2019-09-02,155531600.0
2019-09-03,103026700.0
2019-09-04,123856100.0
2019-09-05,110635100.0
2019-09-06,132414300.0
2019-09-07,121283400.0
2019-09-08,84545200.0
2019-09-09,82309500.0
2019-09-10,92756000.0
2019-09-11,101181500.0
2019-09-12,103287700.0
2019-09-13,133617800.0
2019-09-14,139305900.0
2019-09-15,108245100.0
2019-09-16,136699700.0
2019-09-17,98257800.0
