fecha_hora,precio_bolsa,demanda,generacion,volumen_embalses,aportes_hidricos,es_pandemia,anio,mes,oni,precio_lag24h,precio_lag168h,precio_media_24h,precio_media_7d,precio_media_30d,hora,hora_sin,hora_cos,dia_semana,dia_semana_sin,dia_semana_cos,dia_anio,dia_anio_sin,dia_anio_cos,volumen_embalses_delta_1d,volumen_embalses_delta_7d,volumen_embalses_media_7d,volumen_embalses_media_30d,volumen_embalses_vs_media30d,aportes_hidricos_delta_1d,aportes_hidricos_delta_7d,aportes_hidricos_media_7d,aportes_hidricos_media_30d,aportes_hidricos_vs_media30d,precio_std_24h,precio_std_7d,precio_rango_24h,ratio_volatilidad,demanda_lag24h,demanda_lag48h,demanda_lag72h,demanda_media_24h
2026-06-06 07:00:00,591.8563,9180636.63,9291305.94,11927568100.0,315474764.85,0,2026,6,1.4,512.29214,262.19689,552.44568,467.49535071428573,556.901027,7,0.9659258262890683,-0.25881904510252063,5,-0.9749279121818236,-0.2225209339563146,157,0.42667408318992467,-0.9044054548343001,126597500.0,340943300.0,11720902209.52381,11229574777.777779,1.0621567010358648,92599312.38000003,7427424.350000024,229867896.7709524,211792306.44233334,1.489547803455728,177.81429439218115,190.61675529685553,669.0,0.9328366444768375,9655524.64,9802038.68,9730157.55,10256264.496666666
2026-06-06 08:00:00,591.8563,9621437.65,9760482.87,11927568100.0,315474764.85,0,2026,6,1.4,512.29214,262.19689,556.53764625,468.54122380952373,557.2927017638889,8,0.8660254037844387,-0.4999999999999998,5,-0.9749279121818236,-0.2225209339563146,157,0.42667408318992467,-0.9044054548343001,126597500.0,340943300.0,11722931633.928572,11230779050.416666,1.0620428063320757,92599312.38000003,7427424.350000024,229912107.6301786,211867061.68775004,1.4890222309069787,175.60813469517916,190.3760602643695,669.0,0.922427612228751,10130187.95,10215949.0,10250864.66,10252691.119583333
2026-06-06 09:00:00,591.8563,9795717.0,9922856.2,11927568100.0,315474764.85,0,2026,6,1.4,512.29214,260.71689,560.6296125,469.61685880952376,557.6843765277778,9,0.7071067811865476,-0.7071067811865475,5,-0.9749279121818236,-0.2225209339563146,157,0.42667408318992467,-0.9044054548343001,126597500.0,340943300.0,11724961058.333334,11231983323.055555,1.0619289360514486,92599312.38000003,7427424.350000024,229956318.48940477,211941816.93316662,1.488497029113803,173.2730973352158,190.10793166264006,669.0,0.9114459129601238,10369038.81,10392813.2,10515442.73,10251700.52
2026-06-06 10:00:00,496.8563,9949374.35,10082414.91,11927568100.0,315474764.85,0,2026,6,1.4,512.29214,260.71689,564.72157875,470.6627319047619,558.0760512916667,10,0.49999999999999994,-0.8660254037844387,5,-0.9749279121818236,-0.2225209339563146,157,0.42667408318992467,-0.9044054548343001,126597500.0,340943300.0,11726990482.738094,11233187595.694445,1.0618150901861287,92599312.38000003,7427424.350000024,230000529.34863096,212016572.17858332,1.4879721976840234,170.80389678589364,189.8548350020589,669.0,0.8996552380877808,10622013.26,10723860.65,10841070.12,10247456.87875
2026-06-06 11:00:00,591.8563,10096817.72,10237443.26,11927568100.0,315474764.85,0,2026,6,1.4,512.29214,262.19689,568.8135450000001,471.708605,558.4677260555555,11,0.258819045102521,-0.9659258262890682,5,-0.9749279121818236,-0.2225209339563146,157,0.42667408318992467,-0.9044054548343001,126597500.0,340943300.0,11729019907.142857,11234391868.333334,1.0617012687282645,92599312.38000003,7427424.350000024,230044740.20785713,212091327.424,1.4874477362260183,168.194624356551,189.59559663980056,669.0,0.8871230521038536,10813174.53,10955540.43,11129285.23,10241524.96625
2026-06-06 12:00:00,591.8563,9977267.15,10123760.79,11927568100.0,315474764.85,0,2026,6,1.4,512.29214,260.71689,572.90551125,472.7544780952381,558.8594008194444,12,1.2246467991473532e-16,-1.0,5,-0.9749279121818236,-0.2225209339563146,157,0.42667408318992467,-0.9044054548343001,126597500.0,340943300.0,11731049331.547619,11235596140.972221,1.061587471670008,92599312.38000003,7427424.350000024,230088951.06708336,212166082.6694167,1.486923644348716,165.438652604899,189.33019134748648,669.0,0.8738102012544939,10751400.24,10907900.65,11070819.74,10235004.115833333
2026-06-06 13:00:00,496.8563,9928526.76,10080568.77,11927568100.0,315474764.85,0,2026,6,1.4,666.29214,260.71689,583.4141441666667,474.7170178571429,559.4649644722222,13,-0.2588190451025208,-0.9659258262890683,5,-0.9749279121818236,-0.2225209339563146,157,0.42667408318992467,-0.9044054548343001,126597500.0,340943300.0,11733078755.952381,11236800413.61111,1.0614736990035138,92599312.38000003,7427424.350000024,230133161.92630953,212240837.91483337,1.486399921661597,162.90241648413635,189.61885232164894,669.0,0.8591045378114951,10841294.59,11031475.42,11261830.08,10227079.914583333
2026-06-06 14:00:00,591.8563,9862165.46,10017441.21,11927568100.0,315474764.85,0,2026,6,1.4,900.29214,260.71689,603.6727770833335,478.0724147619047,560.3483059027778,14,-0.4999999999999997,-0.8660254037844388,5,-0.9749279121818236,-0.2225209339563146,157,0.42667408318992467,-0.9044054548343001,126597500.0,340943300.0,11735108180.357143,11238004686.25,1.0613599507209406,92599312.38000003,7427424.350000024,230177372.78553572,212315593.16024998,1.4858765677746917,170.96210272647082,192.13080353947163,601.7928099999999,0.8898214111270717,11071342.86,11221673.89,11499885.51,10220816.121666668
2026-06-06 15:00:00,591.8563,9776545.56,9958654.43,11927568100.0,315474764.85,0,2026,6,1.4,712.29214,338.71689,613.2230766666668,479.8623354761904,560.9490084444444,15,-0.7071067811865471,-0.7071067811865479,5,-0.9749279121818236,-0.2225209339563146,157,0.42667408318992467,-0.9044054548343001,126597500.0,340943300.0,11737137604.761906,11239208958.88889,1.0612462268144502,92599312.38000003,7427424.350000024,230221583.6447619,212390348.40566665,1.485353582298578,170.33377434596702,192.90683969985196,601.7928099999999,0.8829846293215581,11047230.29,11215139.66,11466836.12,10213819.897916665
2026-06-06 16:00:00,591.8563,9762036.07,9952311.55,11927568100.0,315474764.85,0,2026,6,1.4,712.29214,338.71689,617.3567095833333,481.6463038095238,561.5010998749999,16,-0.8660254037844385,-0.5000000000000004,5,-0.9749279121818236,-0.2225209339563146,157,0.42667408318992467,-0.9044054548343001,126597500.0,340943300.0,11739167029.166666,11240413231.527779,1.061132527276208,92599312.38000003,7427424.350000024,230265794.5039881,212465103.65108332,1.4848309648443836,171.52984932687352,193.6652757607923,601.7928099999999,0.8857026570872747,10916967.02,11179684.75,11298782.39,10202873.325833334
2026-06-06 17:00:00,666.8563,9802669.66,10008348.68,11927568100.0,315474764.85,0,2026,6,1.4,900.29214,413.71689,629.3236758333334,484.54931976190477,562.3143024166667,17,-0.9659258262890683,-0.25881904510252063,5,-0.9749279121818236,-0.2225209339563146,157,0.42667408318992467,-0.9044054548343001,126597500.0,340943300.0,11741196453.571428,11241617504.166666,1.0610188520983825,92599312.38000003,7427424.350000024,230310005.3632143,212539858.89650002,1.4843087150237826,180.97735420884032,196.26178647498585,601.7928099999999,0.9221222198133125,10785360.42,10991962.84,11117391.29,10194264.891666668
2026-06-06 18:00:00,711.8563,10410011.61,10602704.8,11927568100.0,315474764.85,0,2026,6,1.4,961.29214,678.71689,631.7906420833333,486.2440023809524,562.9483382916667,18,-1.0,-1.8369701987210297e-16,5,-0.9749279121818236,-0.2225209339563146,157,0.42667408318992467,-0.9044054548343001,126597500.0,340943300.0,11743225877.97619,11242821776.805555,1.0609052012731455,92599312.38000003,7427424.350000024,230354216.22244048,212614614.1419167,1.4837868324489958,185.2111309119361,199.13802851135267,601.7928099999999,0.9300640982361508,11405599.82,11543020.67,11687963.24,10188539.022916665
2026-06-06 19:00:00,721.8563,10473148.85,10644572.05,11927568100.0,315474764.85,0,2026,6,1.4,961.29214,678.71689,626.7159416666667,487.938685,562.7314227777778,19,-0.9659258262890684,0.2588190451025203,5,-0.9749279121818236,-0.2225209339563146,157,0.42667408318992467,-0.9044054548343001,126597500.0,340943300.0,11745255302.380953,11244026049.444445,1.0607915747926722,92599312.38000003,7427424.350000024,230398427.08166668,212689369.38733333,1.4832653167327885,173.61368560339736,201.9590098892944,480.0,0.8596481320569219,11534250.53,11661184.05,11882129.39,10183250.12625
2026-06-06 20:00:00,711.8563,10220896.65,10367007.96,11927568100.0,315474764.85,0,2026,6,1.4,941.29214,678.71689,628.3495745833334,489.7762247619047,563.337680875,20,-0.8660254037844386,0.5000000000000001,5,-0.9749279121818236,-0.2225209339563146,157,0.42667408318992467,-0.9044054548343001,126597500.0,340943300.0,11747284726.785715,11245230322.083334,1.0606779726491413,92599312.38000003,7427424.350000024,230442637.94089285,212764124.63274997,1.4827441674884705,176.47827994371323,204.6691819492986,480.0,0.8622611292179351,11311868.35,11399514.44,11607509.98,10179598.205833333
2026-06-06 21:00:00,666.8563,9793308.57,9970662.34,11927568100.0,315474764.85,0,2026,6,1.4,900.29214,414.71689,636.9832075,492.6792407142857,563.8869945277778,21,-0.7071067811865477,0.7071067811865474,5,-0.9749279121818236,-0.2225209339563146,157,0.42667408318992467,-0.9044054548343001,126597500.0,340943300.0,11749314151.190475,11246434594.722221,1.060564394834735,92599312.38000003,7427424.350000024,230486848.80011904,212838879.87816668,1.4822233843298942,184.66168300934575,207.01313630789076,480.0,0.8920288166384683,10771772.25,10894801.62,11124095.02,10174471.982083334
