fecha_hora,precio_bolsa,demanda,generacion,volumen_embalses,aportes_hidricos,es_pandemia,oni,precio_lag24h,precio_lag168h,precio_media_24h,precio_media_7d,precio_media_30d,hora,hora_sin,hora_cos,dia_semana,dia_semana_sin,dia_semana_cos,dia_anio,dia_anio_sin,dia_anio_cos,volumen_embalses_delta_1d,volumen_embalses_delta_7d,volumen_embalses_media_7d,volumen_embalses_media_30d,volumen_embalses_vs_media30d,aportes_hidricos_delta_1d,aportes_hidricos_delta_7d,aportes_hidricos_media_7d,aportes_hidricos_media_30d,aportes_hidricos_vs_media30d,precio_std_24h,precio_std_7d,precio_rango_24h,ratio_volatilidad,demanda_lag24h,demanda_lag48h,demanda_lag72h,demanda_media_24h,es_festivo,festivo_lag24h,festivo_lag48h,festivo_lag72h,festivo_lag168h,mismatch_festivo_24h,mismatch_festivo_168h
2026-03-01 09:00:00,103.13361,8435383.33,8512148.14,12313405575.0,189037104.67625,0,-0.1963709677419355,116.78235,107.85761,118.36876749999999,118.38728380952381,132.56146833333335,9,0.7071067811865476,-0.7071067811865475,6,-0.7818314824680299,0.6234898018587334,60,0.8584015232918917,0.512978386299228,-58615787.5,-126934987.5,12426156653.348215,12682095287.604166,0.9709283281474368,-13199805.409999996,-25166302.932499975,244055032.77293155,229705653.34304512,0.8229536449150417,3.628534313640958,7.071912811899631,9.56607000000001,0.5130909288835356,9843773.18,10103511.88,10013436.32,10160125.184166666,0,0,0,0,0,0,0
2026-03-01 10:00:00,103.13361,8681163.82,8763945.91,12311208050.0,188540621.45916665,0,-0.1959677419354838,116.78235,107.85761,118.53810374999999,118.44397083333331,132.38652969444442,10,0.49999999999999994,-0.8660254037844387,6,-0.7818314824680299,0.6234898018587334,60,0.8584015232918917,0.512978386299228,-58224108.33333397,-129011475.0,12425388727.901785,12681246518.738428,0.9708200240258998,-13114191.530000031,-25607086.821666688,243902609.63708827,229679196.25373727,0.820886804440386,3.44348487679454,7.020155536123557,9.56607000000001,0.4905140433250272,10107940.23,10457469.6,10349458.01,10145561.460416667,0,0,0,0,0,0,0
2026-03-01 11:00:00,103.13361,8930190.41,9015022.48,12309010525.0,188044138.2420833,0,-0.1955645161290322,116.78235,107.85761,118.70744,118.50065785714284,132.21159105555554,11,0.258819045102521,-0.9659258262890682,6,-0.7818314824680299,0.6234898018587334,60,0.8584015232918917,0.512978386299228,-57832429.16666603,-131087962.5,12424608442.410715,12680396437.569445,0.9707118058652249,-13028577.650000006,-26047870.71083337,243747562.78761905,229654294.31641668,0.818813942938933,3.238683673832981,6.96754988229217,9.56607000000001,0.46482389484774317,10344062.9,10796648.04,10649699.47,10126703.74625,0,0,0,0,0,0,0
2026-03-01 12:00:00,103.13361,9161253.68,9246447.91,12306813000.0,187547655.025,0,-0.1951612903225806,116.78235,107.85761,118.87677624999999,118.55734488095239,132.03682325,12,1.2246467991473532e-16,-1.0,6,-0.7818314824680299,0.6234898018587334,60,0.8584015232918917,0.512978386299228,-57440750.0,-133164450.0,12423815796.875,12679545044.097221,0.9706036736490998,-12942963.76999998,-26488654.599999994,243589892.2245238,229630947.53108335,0.8167351005665869,3.0101017910676413,6.914076485815034,9.56607000000001,0.43535847444603576,10294374.29,10809516.55,10618448.55,10105239.485416668,0,0,0,0,0,0,0
2026-03-01 13:00:00,103.13361,9216196.22,9321470.0,12304615475.0,187051171.80791667,0,-0.194758064516129,116.78235,107.85761,119.04611249999999,118.61403190476189,131.86188461111112,13,-0.2588190451025208,-0.9659258262890683,6,-0.7818314824680299,0.6234898018587334,60,0.8584015232918917,0.512978386299228,-57049070.83333397,-135240937.5,12423010791.294643,12678692338.32176,0.9704956273612618,-12857349.889999956,-26929438.489166617,243429597.9478026,229609155.8977373,0.8146503177391803,2.751819517523213,6.8597150538326614,9.565070000000006,0.4011565343353024,10272762.38,10996202.42,10841341.92,10075096.150416667,0,0,0,0,0,0,0
2026-03-01 14:00:00,103.13361,9214618.25,9318863.71,12302417950.0,186554688.5908333,0,-0.1943548387096774,116.78235,113.36061,119.21540708333333,118.67071892857142,131.68694597222222,14,-0.4999999999999997,-0.8660254037844388,6,-0.7818314824680299,0.6234898018587334,60,0.8584015232918917,0.512978386299228,-56657391.66666603,-137317425.0,12422193425.669643,12677838320.243055,0.9703876669854977,-12771736.01000002,-27370222.37833336,243266679.95745537,229588919.41637844,0.8125596351298687,2.4545937460926788,6.804444302546963,5.5020000000000095,0.36073390227823643,10341393.19,11294071.31,11178362.91,10035401.22875,0,0,0,0,0,0,0
2026-03-01 15:00:00,103.13361,9228396.63,9350847.11,12300220425.0,186058205.37375,0,-0.1939516129032258,116.78235,113.50361,119.15545166666668,118.72740595238093,131.51200733333332,15,-0.7071067811865471,-0.7071067811865479,6,-0.7818314824680299,0.6234898018587334,60,0.8584015232918917,0.512978386299228,-56265712.5,-139393912.5,12421363700.0,12676982989.86111,0.9702797925056427,-12686122.129999995,-27811006.267500013,243101138.25348213,229570238.08700693,0.8104630936664974,2.497136682085838,6.748241888948301,5.5020000000000095,0.3700425567399172,10356596.56,11350697.15,11297262.48,9993980.370833334,0,0,0,0,0,0,0
2026-03-01 16:00:00,103.13361,9314554.05,9410674.82,12298022900.0,185561722.15666667,0,-0.1935483870967742,122.28435,114.40661,119.19378791666666,118.78408702380953,131.3268256388889,16,-0.8660254037844385,-0.5000000000000004,6,-0.7818314824680299,0.6234898018587334,60,0.8584015232918917,0.512978386299228,-55874033.33333397,-141470400.0,12420521614.285715,12676126347.175928,0.9701720039055808,-12600508.25,-28251790.156666666,242932972.8358829,229553111.9096227,0.8083607345289404,2.539228889695764,6.737818709858114,5.5020000000000095,0.37686215658794947,10314390.25,11279591.31,11290480.38,9953763.66,0,0,0,0,0,0,0
2026-03-01 17:00:00,107.63261,9366194.24,9514012.73,12295825375.0,185065238.93958333,0,-0.1931451612903225,122.28535,116.50361,119.23216583333334,118.81611333333333,131.14164533333332,17,-0.9659258262890683,-0.25881904510252063,6,-0.7818314824680299,0.6234898018587334,60,0.8584015232918917,0.512978386299228,-55482354.16666603,-143546887.5,12419667168.526785,12675268392.1875,0.970064301169246,-12514894.369999975,-28692574.04583332,242762183.70465773,229537540.88422567,0.8062525991464146,2.5800917461923922,6.741619262918062,5.503,0.38271098464193276,10327302.8,11074787.33,11055782.63,9922618.47125,0,0,0,0,0,0,0
2026-03-01 18:00:00,108.35261,10063489.1,10226698.55,12293627850.0,184568755.7225,0,-0.1927419354838709,122.28635,117.00361,119.27058541666666,118.82433607142858,130.95646641666667,18,-1.0,-1.8369701987210297e-16,6,-0.7818314824680299,0.6234898018587334,60,0.8584015232918917,0.512978386299228,-55090675.0,-145623375.0,12418800362.723215,12674409124.895834,0.9699566842806202,-12429280.49000001,-29133357.935000002,242588770.85980657,229523525.01081598,0.8041387291947631,2.619780883558457,6.745023841609286,5.504000000000005,0.38840201978195044,10871398.39,11528612.52,11544726.62,9895234.549166666,0,0,0,0,0,0,0
